start,name,F0,period,phase_index,phase_rad,u,vv,m,n,max_cycle_res,all_cycles_same,mean_res
meta,w23,3.025,40.0,4,3.141592653589793,2.000000000000001,-3.000000000000002,2,-3,4.269034910008165e-14,True,1.9357399876532502e-15
meta,w23,3.025,40.0,5,3.9269908169872414,1.9999999999999996,-2.999999999999999,2,-3,3.5427075806600655e-14,True,7.691850745534255e-16
meta,w23,3.025,40.0,6,4.71238898038469,1.9999999999994487,-2.999999999999484,2,-3,1.472502745638908e-11,True,5.345593240719113e-13
meta,w23,3.025,40.0,7,5.497787143782138,1.9999999999997295,-3.0000000000001195,2,-3,5.907455063306637e-12,True,3.460087671238198e-13
meta,w34,3.4,40.0,0,0.0,3.000000000000031,-4.0000000000000435,3,-4,1.079959219465041e-12,True,3.882670717273554e-14
meta,w34,3.4,40.0,1,0.7853981633974483,3.0000000000000018,-4.000000000000001,3,-4,3.845925372767128e-14,True,1.538370149106851e-15
meta,w34,3.4,40.0,2,1.5707963267948966,2.999999999999994,-3.9999999999999964,3,-4,9.291021295103799e-14,True,5.4025784115714076e-15
meta,w34,3.4,40.0,3,2.356194490192345,2.999999999999993,-3.999999999999999,3,-4,1.1733035266721002e-13,True,6.705600017716362e-15
meta,w34,3.4,40.0,4,3.141592653589793,2.9999999999999987,-3.9999999999999956,3,-4,1.0383998506471244e-13,True,3.9471512357794175e-15
meta,w34,3.4,40.0,5,3.9269908169872414,2.9999999999999964,-3.9999999999999916,3,-4,1.7498974533723487e-13,True,7.337557957613285e-15
meta,w34,3.4,40.0,6,4.71238898038469,3.0000000000007363,-4.000000000001664,3,-4,2.9945818540765345e-11,True,1.4438440489765584e-12
meta,w34,3.4,40.0,7,5.497787143782138,2.9999999999995417,-3.9999999999985194,3,-4,2.259189124861472e-11,True,1.3128746241219951e-12
meta,w27,3.675,70.0,0,0.0,2.000000000000107,-7.000000000000014,2,-7,1.8989778103650967e-11,True,1.006751316140479e-13
meta,w27,3.675,70.0,1,0.7853981633974483,2.0,-7.0,2,-7,3.845925372767128e-14,True,0.0
meta,w27,3.675,70.0,2,1.5707963267948966,1.9999999999999474,-7.000000000000004,2,-7,1.0819992777394223e-12,True,5.4979696956123614e-14
meta,w27,3.675,70.0,3,2.356194490192345,1.999999999999679,-7.000000000000187,2,-7,1.1350300373132557e-11,True,4.4540155279225704e-13
meta,w27,3.675,70.0,4,3.141592653589793,2.000000000000001,-7.000000000000002,2,-7,2.3844737311156192e-14,True,1.538370149106851e-15
meta,w27,3.675,70.0,5,3.9269908169872414,2.0000000000000098,-7.0,2,-7,1.6727668084305177e-13,True,9.769962616701378e-15
meta,w27,3.675,70.0,6,4.71238898038469,2.0000000000000377,-6.999999999999163,2,-7,1.6743926111467945e-11,True,8.561621894542625e-13
meta,w27,3.675,70.0,7,5.497787143782138,2.000000000000377,-7.000000000000107,2,-7,1.4011916598820468e-11,True,3.366421762929845e-13
meta,near_low_transition,1.6,40.0,0,0.0,1.000000000000926,-1.0000000000004783,1,-1,2.580910162409787e-11,True,8.02021793378615e-13
meta,near_low_transition,1.6,40.0,1,0.7853981633974483,0.9999999999999993,-0.9999999999999989,1,-1,2.240258407175245e-14,True,9.678699938266251e-16
meta,near_low_transition,1.6,40.0,2,1.5707963267948966,1.0000000000000004,-1.0000000000000004,1,-1,2.5023156146241385e-15,True,4.4408920985006257e-16
meta,near_low_transition,1.6,40.0,3,2.356194490192345,0.9999999999999994,-0.9999999999999989,1,-1,1.5287654140625005e-14,True,9.614813431917819e-16
meta,near_low_transition,1.6,40.0,4,3.141592653589793,0.9999999999999998,-1.0000000000000004,1,-1,5.962218089060634e-15,True,5.874748045952207e-16
meta,near_low_transition,1.6,40.0,5,3.9269908169872414,1.0000000000000007,-1.0000000000000002,1,-1,1.6071796497383392e-14,True,5.874748045952207e-16
meta,near_low_transition,1.6,40.0,6,4.71238898038469,1.0000000000000016,-1.0000000000000024,1,-1,1.1962146910661003e-13,True,2.1413206232596582e-15
meta,near_low_transition,1.6,40.0,7,5.497787143782138,1.0000000000000537,-1.000000000000004,1,-1,6.376833053854065e-13,True,5.18520508776607e-14
meta,near_mid_transition,2.35,40.0,0,0.0,0.9999999999999982,-1.9999999999999933,1,-2,5.993106878137451e-14,True,5.9746092726847654e-15
meta,near_mid_transition,2.35,40.0,1,0.7853981633974483,0.9999999999999998,-1.9999999999999996,1,-2,1.6345182834260293e-14,True,3.8459253727671276e-16
meta,near_mid_transition,2.35,40.0,2,1.5707963267948966,0.9999999999999991,-1.9999999999999982,1,-2,3.057510671349867e-14,True,1.538370149106851e-15
meta,near_mid_transition,2.35,40.0,3,2.356194490192345,1.0000000000000004,-2.0000000000000004,1,-2,1.922962686383564e-14,True,4.4408920985006257e-16
meta,near_mid_transition,2.35,40.0,4,3.141592653589793,1.000000000000001,-2.0000000000000013,1,-2,4.0382826873785546e-14,True,1.2362920382602608e-15
meta,near_mid_transition,2.35,40.0,5,3.9269908169872414,0.9999999999999979,-1.9999999999999958,1,-2,8.749480223045215e-14,True,3.653629104128771e-15
meta,near_mid_transition,2.35,40.0,6,4.71238898038469,0.9999999999999961,-2.000000000000001,1,-2,7.47743243177339e-14,True,4.397660529140337e-15
meta,near_mid_transition,2.35,40.0,7,5.497787143782138,0.9999999999999958,-2.000000000000001,1,-2,6.066208215546422e-14,True,4.725952219296117e-15
