theta,Ff,Fr,hard_f,hard_r,soft_vy_signed_f,soft_vy_signed_r,cubic_f,cubic_r,qfu,qfv,qru,qrv
1.29,3.179568318120895,1.301541732150239,14.331832162147768,23.186449221439695,0.07973553170405753,-0.9999999551092238,-17.65215136406698,-77.43726632097966,0.9055768299766721,0.21609767061936405,0.09992586744403578,0.8002343964904994
1.3,3.1747774914141376,1.299648581208305,14.295920678160213,23.138966681123662,0.07964828506080883,-0.999999955468803,-17.613876992816618,-77.37459962828468,0.9055040664481645,0.2161962335333473,0.09992057538370003,0.8002446149168108
1.31,3.1699492458666194,1.297740570517031,14.259814944165136,23.091198208201426,0.0795601030704116,-0.9999999558295096,-17.575246226701918,-77.31112792986094,0.9054308355194433,0.21629533567090622,0.09991525800615614,0.8002548815470487
1.32,3.165083600507408,1.2958177038749277,14.223516682177724,23.043145488469097,0.07947097793402531,-0.9999999561913061,-17.536257877657523,-77.24684564329863,0.9053571390287704,0.21639497221248932,0.09990991558677845,0.8002651958396775
1.33,3.160180575487448,1.2938799854341219,14.187027620141178,22.994810214404048,0.07938090171204652,-0.9999999565541561,-17.496910755690436,-77.18174720973414,0.9052829788124355,0.21649513831395176,0.09990454840051023,0.8002755572540989
1.34,3.155240192095007,1.291927419706067,14.150349491776812,22.946194085049363,0.07928986632205078,-0.9999999569180221,-17.457203669273287,-77.11582709090887,0.9052083567043482,0.21659582910685174,0.09989915672183414,0.8002859652507119
1.35,3.150262472771703,1.2899600115672238,14.113484036427892,22.897298805898032,0.07919786353539361,-0.9999999572828664,-17.417135425044613,-77.04907976885619,0.9051332745353728,0.21669703969879067,0.09989374082474343,0.8002964192909707
1.36,3.1452474411279225,1.287977766264735,14.076432998907087,22.84812608877739,0.07910488497459547,-0.9999999576486516,-17.37670482575628,-76.98149975313332,0.9050577341328192,0.21679876517372607,0.09988830098271283,0.8003069188374418
1.37,3.140195121958329,1.285980689422081,14.039198129342154,22.798677651733463,0.07901092211041069,-0.9999999580153398,-17.33591067189243,-76.91308157447806,0.9049817373198672,0.2169010005923016,0.09988283746867084,0.8003174633538608
1.3800000000000001,3.1351055412573756,1.283968787044706,14.001781183019586,22.748955218915306,0.07891596625840873,-0.9999999583828929,-17.294751766197653,-76.84381979236622,0.9049052859149089,0.2170037409921856,0.09987735055497172,0.8003280523051879
1.3900000000000001,3.1299787262343317,1.2819420655256322,13.96418392023136,22.698960520459636,0.0788200085763006,-0.9999999587512723,-17.25322690365447,-76.77370899203072,0.9048283817310252,0.21710698138839343,0.09987184051336861,0.8003386851576618
1.4000000000000001,3.124814705328677,1.2799005316510488,13.926408106117108,22.648695292375265,0.07872304006019828,-0.9999999591204404,-17.211334879009588,-76.70274378674681,0.9047510265752685,0.2172107167736397,0.09986630761498695,0.800349361378853
1.41,3.119613508224838,1.2778441926058823,13.888455510510328,22.598161276427867,0.07862505154181777,-0.9999999594903576,-17.169074487242426,-76.63091882061013,0.9046732222481209,0.21731494211866564,0.09986075213029805,0.8003600804377167
1.42,3.1143751658673025,1.2757730559793372,13.850327907779896,22.54736022002467,0.07852603368454879,-0.9999999598609856,-17.126444517052523,-76.55822876350777,0.9045949705427446,0.21741965237259586,0.09985517432909392,0.8003708418046432
1.43,3.1090997104752365,1.273687129770416,13.812027076674442,22.496293876099365,0.07842597698020226,-0.9999999602322851,-17.083443758285444,-76.48466832237084,0.904516273244358,0.21752484246328146,0.09984957448046174,0.8003816449515094
1.44,3.1037871755570623,1.271586422393416,13.773554800165549,22.44496400299714,0.07832487174545757,-0.9999999606042171,-17.040070997524257,-76.4102322338868,0.9044371321295603,0.21763050729764924,0.09984395285275979,0.8003924893517269
1.45,3.098437595924968,1.2694709426833783,13.734912865289942,22.3933723643597,0.07822270811798329,-0.999999960976742,-16.996325017252552,-76.33491526681716,0.9043575489655961,0.21773664176205987,0.09983830971359281,0.8004033744802905
1.46,3.093051007709331,1.2673406999015489,13.696103062991249,22.341520729010803,0.07811947605247183,-0.9999999613498204,-16.95220459938009,-76.25871222662748,0.9042775255096057,0.2178432407226718,0.09983264532978899,0.8004142998138262
1.47,3.0876274483726553,1.2651957037407708,13.657127187963955,22.28941087084156,0.07801516531709309,-0.9999999617234124,-16.907708524132786,-76.181617953715,0.904197063507958,0.21795029902579083,0.09982695996737617,0.800425264830636
1.48,3.0821669567237766,1.2630359643308697,13.617987038493958,22.23704456869619,0.07790976548911309,-0.9999999620974781,-16.86283556689854,-76.10362732403834,0.9041161646954272,0.2180578114982453,0.09982125389156013,0.8004362690107445
1.49,3.0766695729316695,1.2608614922439998,13.57868441630071,22.184423606257823,0.077803265950779,-0.9999999624719776,-16.817584502101834,-76.02473525383371,0.9040348307944263,0.21816577294775252,0.09981552736670227,0.8004473118359419
1.5,3.0711353385392592,1.2586722984999554,13.5392211263781,22.131549771934594,0.07769565588482777,-0.9999999628468703,-16.771954099922315,-75.94493669652024,0.9039530635141692,0.2182741781632956,0.0998097806562977,0.8004583927898279
1.51,3.0655642964767176,1.2564683945714619,13.499598976837873,22.078424858745908,0.07758692427053415,-0.9999999632221164,-16.725943129018212,-75.8642266438415,0.9038708645499393,0.21838302191548667,0.09980401402295482,0.8004695113578534
