theta,branch,sign,Fc,fold_x,fold_y,fold_hard,fold_residual,zero_u,zero_v,zero_U,zero_eigmin
1.0,ground,1,3.302176028398973,0.014222743480391584,0.1848917614482557,15.281274736880603,3.130494905702481e-14,1.0,5.424647023752947e-17,-0.6110741291154201,15.487886080197672
1.0,ground,-1,1.3499733914836314,4.7820269701621895e-05,-0.17323843713126336,24.431752191090474,4.670231389102624e-14,1.0,5.424647023752947e-17,-0.6110741291154201,15.487886080197672
1.0,meta,1,0.20454311874082756,0.5000202336966604,0.3581362509507499,12.011187073820503,4.8221878503696073e-14,0.33333333333333326,0.3333333333333333,-0.2714320098835112,5.996342807889145
1.0,meta,-1,0.5932718457164168,0.507195227886642,0.2212783668108844,11.479994128984991,5.701529834993184e-14,0.33333333333333326,0.3333333333333333,-0.2714320098835112,5.996342807889145
1.25,ground,1,3.1983570943224593,0.013717626642366351,0.18680939303468763,14.47350137379432,2.7192313788169433e-14,4.112239068094845e-17,1.0,-0.5876044933408643,14.945740403328248
1.25,ground,-1,1.3089656745103202,4.3784834751037505e-05,-0.17303705824525903,23.37348658104596,2.1273962392673814e-14,4.112239068094845e-17,1.0,-0.5876044933408643,14.945740403328248
1.25,meta,1,0.20808429711467713,0.5000190074499213,0.3599906516718441,11.794089398661736,4.166394207340207e-14,0.33333333333333326,0.33333333333333354,-0.2624090407084859,5.926091483169092
1.25,meta,-1,0.6033342717621586,0.5071569426921666,0.21907452556183538,11.248527519291034,4.045094402843178e-14,0.33333333333333326,0.33333333333333354,-0.2624090407084859,5.926091483169092
1.5,ground,1,3.0711353385392535,0.013090152595818479,0.18903098327958434,13.539221126378143,1.0038378974592356e-14,1.0,1.0,-0.5596581941027724,14.293947767951723
1.5,ground,-1,1.2586722984999559,3.8977051211562175e-05,-0.1728081009559852,22.131549771934594,7.604322960765758e-15,1.0,1.0,-0.5596581941027724,14.293947767951723
1.5,meta,1,0.21105864341942934,0.5000173982632106,0.36208247263435145,11.493290105502231,9.853440302741084e-14,0.33333333333333337,0.3333333333333335,-0.2514737433951886,5.820771207229886
1.5,meta,-1,0.6116972722313013,0.5070659577810519,0.21651552083999753,10.932479101004516,6.587916422242532e-14,0.33333333333333337,0.3333333333333335,-0.2514737433951886,5.820771207229886
1.75,ground,1,2.9209542034448073,0.012329129925186099,0.19148943436561333,12.50574967273082,7.970377178788153e-15,0.9999999999999999,2.846464309245645e-17,-0.5276632942343703,13.539535883799129
1.75,ground,-1,1.1991999243232863,3.347310627102393e-05,-0.17255873174409142,20.73283501489142,1.0240733057390674e-13,0.9999999999999999,2.846464309245645e-17,-0.5276632942343703,13.539535883799129
1.75,meta,1,0.2127584060819446,0.5000153758091,0.36432537446370533,11.0968651485686,2.4241738312026272e-14,0.33333333333333337,0.3333333333333334,-0.2387072290518576,5.672183625321142
1.75,meta,-1,0.6163070474682653,0.5068968522983599,0.21367713183676207,10.521250019744045,4.3688357921564296e-15,0.33333333333333337,0.3333333333333334,-0.2387072290518576,5.672183625321142
2.0,ground,1,2.748797673549673,0.01141313013119574,0.19411169157729288,11.401553443293206,7.3140048364318e-15,0.9999999999999999,7.8247927884596e-17,-0.49211127748073197,12.691177971350475
2.0,ground,-1,1.1308327718834277,2.73642500202242e-05,-0.17229551209882454,19.206002283959414,1.7933828259493808e-14,0.9999999999999999,7.8247927884596e-17,-0.49211127748073197,12.691177971350475
2.0,meta,1,0.21246612014771457,0.5000129297574498,0.3666332821436324,10.597184816618924,4.605138640498839e-15,0.3333333333333335,0.3333333333333333,-0.2242239599182609,5.4733168618511705
2.0,meta,-1,0.6150902439682151,0.5066178705183497,0.21064321301331698,10.008841871722929,6.059351400817472e-14,0.3333333333333335,0.3333333333333333,-0.2242239599182609,5.4733168618511705
2.25,ground,1,2.5562953114582827,0.010298477890427031,0.19682242178905107,10.254724466046408,1.0101122346045114e-14,1.0,1.0,-0.4535493155649594,11.75925794801663
2.25,ground,-1,1.054077522685469,2.0756895837251042e-05,-0.17202415431380055,17.580423948702766,8.470414096358606e-16,1.0,1.0,-0.4535493155649594,11.75925794801663
2.25,meta,1,0.20952435254306542,0.5000100748835594,0.3689261812096941,9.992151623369306,1.714876311938075e-14,0.33333333333333337,0.33333333333333354,-0.20817640213269384,5.21918548681428
2.25,meta,-1,0.6061651013945832,0.5061840833700479,0.20750196706677185,9.395159419623702,1.5167109155051422e-14,0.33333333333333337,0.33333333333333354,-0.20817640213269384,5.21918548681428
2.5,ground,1,2.3457795452740076,0.008884262814298804,0.19954905799184428,9.091507507962024,2.0148695589258933e-15,1.0,1.0,-0.4125711088002301,10.755872351689062
2.5,ground,-1,0.9696944153155026,1.3772165718770058e-05,-0.17174945619331816,15.885251808917195,8.52991399062758e-15,1.0,1.0,-0.4125711088002301,10.755872351689062
2.5,meta,1,0.20340753610545984,0.5000068527873679,0.3711345737640784,9.28565644794547,4.461072131397197e-14,0.3333333333333334,0.33333333333333337,-0.19075760988578444,4.907497330595705
2.5,meta,-1,0.5880622133652985,0.5055146927217569,0.20434128864941278,8.68643948549179,1.010316353153579e-14,0.3333333333333334,0.33333333333333337,-0.19075760988578444,4.907497330595705
