family,shape,N,Theta,theta,n_minima,ground_u,ground_v,sign,Fc,fold_x,fold_y,connected,reason,final_dist,maxjump,mineig,maxres
hex,shell12,469,20,0.9235141930792203,2,1.0,1.0,1,2.902218954869611,0.012236047583271717,0.19176900155475468,True,ok,0.004519013834126289,0.010551779152431925,0.07410903581938746,9.294681668704716e-14
hex,shell12,469,20,0.9235141930792203,2,1.0,1.0,-1,1.191757622597471,3.2824819120268334e-05,-0.17253000300881643,True,ok,0.005680801681911781,0.012140859077009512,0.42105504042917163,7.696074894354611e-15
hex,shell14,631,0,0.0,2,0.0,0.0,1,3.4851202323700723,0.015107260117101675,0.1812524912332831,True,ok,0.004781448059498778,0.010325117702284437,0.10003107064980972,1.46549443357347e-14
hex,shell14,631,0,0.0,2,0.0,0.0,-1,1.4222355051564721,5.5218492948535126e-05,-0.17363318390044577,True,ok,0.0059086868673459605,0.012331432109630421,0.48364010277835556,9.245408901544945e-16
hex,shell14,631,10,0.39809371432901647,2,0.9999999999999999,5.124964644980103e-17,1,3.340545545958131,0.014408783423273426,0.18415599383887837,True,ok,0.004717477186859633,0.010393887699154902,0.09374848393067282,1.2888648010179128e-14
hex,shell14,631,10,0.39809371432901647,2,0.9999999999999999,5.124964644980103e-17,-1,1.365125219336357,4.9341918846074965e-05,-0.17331677229063827,True,ok,0.005840282838360058,0.012277341815167927,0.4694954185975532,3.0200235393452757e-15
hex,shell14,631,15,0.5971405714935247,2,0.9999999999999999,0.9999999999999999,1,3.158000191042972,0.013521179373263116,0.18752285028803128,True,ok,0.00463695613066547,0.010467790675754344,0.08568633151230784,2.2937170896829294e-13
hex,shell14,631,15,0.5971405714935247,2,0.9999999999999999,0.9999999999999999,-1,1.2930137106470858,4.225416169208932e-05,-0.17296289317288382,True,ok,0.005766496247901015,0.012216100904316924,0.4502227312842414,5.4893492751998264e-15
hex,shell14,631,20,0.7961874286580329,2,0.9999999999999999,6.703980376804927e-17,1,2.9019644247190115,0.012235103896582169,0.19177151358218567,True,ok,0.004518927555993998,0.010551821915169806,0.07409864191103552,1.7669893326299757e-14
hex,shell14,631,20,0.7961874286580329,2,0.9999999999999999,6.703980376804927e-17,-1,1.1916554313075511,3.2818187453596336e-05,-0.1725296963631684,True,ok,0.00568075180914356,0.012140811373582108,0.4210225389600577,3.4547404556458776e-15
hex,shell16,817,0,0.0,2,0.0,0.0,1,3.4851202323700696,0.015107260117102554,0.181252491233283,True,ok,0.004781448059506254,0.010325117702284434,0.1000310706499144,1.4658968473005742e-14
hex,shell16,817,0,0.0,2,0.0,0.0,-1,1.4222355051564717,5.5218492948531826e-05,-0.17363318390044577,True,ok,0.005908686867345489,0.01233143210963035,0.48364010277831126,6.818853546041947e-16
hex,shell16,817,10,0.3498557142706598,2,0.9999999999999999,7.136260826061972e-17,1,3.3405032886193693,0.014408594297700247,0.18415673790618356,True,ok,0.004717460052339271,0.010393904614146637,0.09374667751562335,1.2879192729176284e-14
hex,shell16,817,10,0.3498557142706598,2,0.9999999999999999,7.136260826061972e-17,-1,1.3651084818338377,4.934035785145291e-05,-0.1733166907643548,True,ok,0.005840265845791129,0.012277327970018643,0.4694909889009716,3.296188242323409e-15
hex,shell16,817,15,0.5247835714059896,2,3.3979438862651533e-17,1.8512344683210705e-16,1,3.157904499150219,0.013520786295329696,0.1875241983424043,True,ok,0.004636920891397367,0.010467818314089505,0.08568230155510288,1.1546332487370385e-14
hex,shell16,817,15,0.5247835714059896,2,3.3979438862651533e-17,1.8512344683210705e-16,-1,1.2929756302163895,4.2251099506390906e-05,-0.17296274341439152,True,ok,0.005766467510054775,0.012216075932320606,0.4502116541926204,8.034822676454994e-16
