F0,period,u_per_cycle,v_per_cycle,m,n,lock_residual,dy_per_cycle,locked
1.25,50.0,-1.7939859684644144e-17,3.596791535143216e-17,0.0,0.0,3.11491596303762e-17,3.1149128415508544e-17,True
1.5,50.0,0.999999999999999,-1.0000000000000004,1.0,-1.0,1.2803716525534355e-15,-0.866025403784439,True
1.75,50.0,1.0000000000000002,-1.0000000000000002,1.0,-1.0,2.2204460492503128e-16,-0.8660254037844387,True
2.0,50.0,2.0000000000000533,-1.9999999999999631,2.0,-2.0,7.850336685017305e-14,-1.7320508075688452,True
2.25,50.0,1.0000000000000004,-2.000000000000001,1.0,-2.0,7.691850745534255e-16,-1.7320508075688779,True
2.5,50.0,1.9999999999995377,-2.9999999999999765,2.0,-3.0,4.509893740959476e-13,-2.5980762113532956,True
2.75,50.0,1.9999999999999716,-2.999999999999998,2.0,-3.0,2.7379099239862994e-14,-2.598076211353314,True
3.0,50.0,2.0000000000000004,-4.000000000000001,2.0,-4.0,7.691850745534255e-16,-3.464101615137755,True
3.25,50.0,2.0000000000000044,-4.000000000000001,2.0,-4.0,4.070144838902081e-15,-3.464101615137755,True
3.5,50.0,3.9999999999999964,-6.00000000000001,4.0,-6.0,1.1949218545369531e-14,-5.19615242270664,True
3.75,50.0,6.000000000001297,-5.000000000000262,6.0,-5.0,1.1876127878931237e-12,-4.33012701892242,True
4.0,50.0,8.00000000000022,-5.000000000000645,8.0,-5.0,5.676926310352728e-13,-4.330127018922751,True
1.0,60.0,1.8487879074807095e-17,-3.695693912893412e-17,0.0,0.0,3.2005649514948e-17,-3.200564813177209e-17,True
1.25,60.0,2.318718994121274e-17,-4.633388608271856e-17,0.0,0.0,4.012632751176849e-17,-4.012632240368852e-17,True
1.5,60.0,1.0000000000000002,-1.0000000000000004,1.0,-1.0,3.8459253727671276e-16,-0.866025403784439,True
1.75,60.0,1.0000000000000036,-1.0000000000000002,1.0,-1.0,3.447059237218225e-15,-0.8660254037844387,True
2.0,60.0,2.0000000000000004,-2.0000000000000004,2.0,-2.0,4.4408920985006257e-16,-1.7320508075688774,True
2.25,60.0,1.000000000000001,-2.999999999999994,1.0,-3.0,6.840271371877088e-15,-2.5980762113533102,True
2.5,60.0,2.0000000000000764,-3.0000000000000178,2.0,-3.0,6.923235414257461e-14,-2.598076211353331,True
2.75,60.0,2.0,-4.0,2.0,-4.0,0.0,-3.4641016151377544,True
3.0,60.0,3.0000000000000013,-5.000000000000003,3.0,-5.0,2.3075552236602768e-15,-4.330127018922195,True
3.25,60.0,1.9999999999998217,-4.999999999999959,2.0,-5.0,1.617900857928266e-13,-4.330127018922157,True
3.5,60.0,1.9999999999999913,-6.9999999999999565,2.0,-7.0,3.990197771751274e-14,-6.062177826491032,True
3.75,60.0,3.000000000000635,-7.000000000000001,3.0,-7.0,6.346039470293925e-13,-6.062177826491071,True
4.0,60.0,2.000000000000051,-5.000000000000137,2.0,-5.0,1.197139644334629e-13,-4.330127018922312,True
1.0,70.0,-1.3700532026341682e-17,2.7410981782791753e-17,0.0,0.0,2.3738607084510005e-17,2.3738606566570118e-17,True
1.25,70.0,-1.7259079114821666e-17,3.4478120041017804e-17,0.0,0.0,2.9858934541209973e-17,2.985892783025079e-17,True
1.5,70.0,0.9999999999999998,-1.0,1.0,-1.0,2.220446049250313e-16,-0.8660254037844386,True
1.75,70.0,1.0000000000000009,-2.0000000000000013,1.0,-2.0,1.1749496091904413e-15,-1.7320508075688785,True
2.0,70.0,2.0000000000000018,-2.000000000000001,2.0,-2.0,1.538370149106851e-15,-1.7320508075688779,True
2.25,70.0,0.9999999999999997,-2.9999999999999996,1.0,-3.0,4.002966042486721e-16,-2.5980762113533156,True
2.5,70.0,2.0,-4.0,2.0,-4.0,0.0,-3.4641016151377544,True
2.75,70.0,3.0000000000000018,-5.0000000000000036,3.0,-5.0,3.076740298213702e-15,-4.330127018922196,True
3.0,70.0,3.0000000000000018,-6.0000000000000036,3.0,-6.0,3.076740298213702e-15,-5.196152422706635,True
3.25,70.0,4.000000000000028,-6.000000000000003,4.0,-6.0,2.7187546196596853e-14,-5.196152422706634,True
3.5,70.0,1.99999999999979,-6.999999999999928,2.0,-7.0,1.848963705277545e-13,-6.062177826491008,True
3.75,70.0,2.000000000000065,-7.000000000000013,2.0,-7.0,5.930877486831516e-14,-6.062177826491082,True
4.0,70.0,9.999999999998712,-6.000000000000081,10.0,-6.0,1.330113832281743e-12,-5.196152422706701,True
1.0,80.0,-1.2287610994252507e-17,2.456910333351396e-17,0.0,0.0,2.12774678549669e-17,2.1277467635028025e-17,True
1.25,80.0,-1.5508284408323514e-17,3.0972719310631105e-17,0.0,0.0,2.6823170707732336e-17,2.682316174729138e-17,True
1.5,80.0,1.0,-1.0000000000000002,1.0,-1.0,2.2204460492503128e-16,-0.8660254037844387,True
