theta_deg,branch,U0,x0,y0,direction,Fc,fold_x,fold_y,fold_residual,lambda_soft,lambda_hard,soft_cubic,force_coupling_abs_vy,continued_points,seed_force
0.5,metastable,-0.2835467209177751,0.4999999999999999,0.2886751345948129,-y,0.5751564695912389,0.5071939733768343,0.22437416176854466,5.264716326648607e-14,4.4825254619240695e-15,11.742438897310805,14.136066976681978,0.05737619569000528,58,0.5700000000000003
0.75,ground,-0.6297087854497013,0.5,0.8660254037844386,+y,3.3825458913555146,0.5146115710715501,1.0493617613606578,9.069711055687218e-14,5.689893001203927e-15,15.937870603578618,19.221348658099988,0.08322864652498368,339,3.379999999999972
0.75,ground,-0.6297087854497013,0.5,0.8660254037844386,-y,1.381713076630392,0.5000510218308011,0.6926204899554657,2.4265352310022296e-14,9.587951329962426e-16,25.282330446407084,-79.78346751032754,0.9999999382924114,139,1.380000000000001
0.75,metastable,-0.27848888560888785,0.4999999999999999,0.2886751345948129,+y,0.20107430610566043,0.500021119558731,0.3565996136224009,5.933456722768397e-15,4.3911839699910075e-16,12.15890554289065,81.53997234784846,0.9999999023233705,21,0.20000000000000004
0.75,metastable,-0.27848888560888785,0.4999999999999999,0.2886751345948129,-y,0.5833678317098187,0.5072019017862099,0.22306220754542486,4.9526615377723516e-14,4.253541963095131e-15,11.64011075536912,13.706504150311416,0.05661519682372469,59,0.5800000000000003
1.0,ground,-0.6110741291154203,1.0,4.6978821291336993e-17,+y,3.3021760283989754,1.0142227434803908,0.18489176144825575,1.1658659341124517e-13,7.618905506490137e-15,15.28127473688059,18.612315405795165,0.08188938540078039,331,3.2999999999999736
1.0,ground,-0.6110741291154203,1.0,4.6978821291336993e-17,-y,1.3499733914836303,1.0000478202698166,-0.17323843713126286,2.977311959733425e-12,4.039303783218585e-14,24.431752191090478,-78.92997642631157,0.9999999453290159,135,1.340000000000001
1.0,metastable,-0.2714320098835111,0.5000000000000004,0.28867513459481287,+y,0.2045431187408259,0.5000202336969038,0.35813625095074997,2.92563814500159e-12,-1.287645086855884e-15,12.011187073820519,79.57353446570662,0.999999914266106,21,0.20000000000000004
1.0,metastable,-0.2714320098835111,0.5000000000000004,0.28867513459481287,-y,0.5932718457164184,0.5071952278866408,0.22127836681088434,9.34007518614535e-14,8.132383655379272e-15,11.479994128984986,13.117653558743289,0.055517892809079025,60,0.5900000000000003
1.25,ground,-0.5876044933408644,0.5,0.8660254037844386,+y,3.198357094322453,0.5137176266423682,1.052834796819126,1.6422479997807973e-14,1.124100812432971e-15,14.47350137379437,17.801708516098305,0.08007531602011325,320,3.189999999999976
1.25,ground,-0.5876044933408644,0.5,0.8660254037844386,-y,1.3089656745103193,0.5000437848348386,0.6929883455391799,2.085727047765948e-12,1.7439462671680435e-14,23.37348658104596,-77.6799951516696,0.9999999536829064,131,1.300000000000001
1.25,metastable,-0.2624090407084859,0.4999999999999999,0.28867513459481303,+y,0.20808429711467705,0.5000190074499384,0.35999065167184413,2.0379994909109642e-13,-1.9215838145805525e-15,11.794089398661741,77.12351497233747,0.9999999282026135,21,0.20000000000000004
1.25,metastable,-0.2624090407084859,0.4999999999999999,0.28867513459481303,-y,0.6033342717621673,0.5071569426921615,0.21907452556183493,4.138353856436371e-14,3.677613769070831e-15,11.248527519291017,12.378605796765537,0.054048720113553515,62,0.6000000000000003
1.5,ground,-0.5596581941027724,1.5,0.8660254037844386,+y,3.07113533853926,1.5130901525958163,1.0550563870640233,7.358798971490804e-14,5.412337245047638e-15,13.539221126378097,16.771954055516176,0.0776956558848236,308,3.0699999999999785
1.5,ground,-0.5596581941027724,1.5,0.8660254037844386,-y,1.2586722984999545,1.5000389770512186,0.6932173028284535,1.6468255941559e-13,-2.1079912023157536e-15,22.131549771934594,-75.94493654749475,0.9999999628468705,126,1.2500000000000009
