theta_deg,U_ground,zero_eig_ground,Fc_ground_plus,hard_ground_plus,soft_ground_plus,Fc_ground_minus,hard_ground_minus,soft_ground_minus,U_meta,zero_eig_meta,Fc_meta_plus,hard_meta_plus,soft_meta_plus,Fc_meta_minus,hard_meta_minus,soft_meta_minus,DeltaU0,DeltaF_plus,DeltaF_minus
0.56,-0.640460131938528,16.15985524276175,3.4280565136998673,16.322872861252478,-2.498001805406602e-16,1.3996889213968535,25.7773559285759,1.2931990818910305e-15,-0.2825163242423474,6.060165755213814,0.19881600773102906,12.233721327286215,-2.0060713276626695e-15,0.576905117629263,11.722477221742654,-2.761679773755077e-15,0.3579438076961806,3.2292405059688383,0.8227838037675905
0.5700000000000001,-0.6399696584712815,16.14870264927634,3.4259942698819685,16.305210471393195,-4.996003610813204e-16,1.3988742833884094,25.75470373193653,-1.7878443002309133e-15,-0.2823333028918634,6.059324975745179,0.198923049844863,12.230478329847152,-1.4352380368161041e-15,0.5772116524736758,11.71888340351516,-7.632783294297951e-16,0.3576363555794181,3.2270712200371054,0.8216626309147336
0.58,-0.6394707353493373,16.137355716302075,3.42389512314619,16.28725349114557,2.914335439641036e-16,1.3980450782105005,25.731668124105475,-1.9200750371432557e-15,-0.2821470587127873,6.058461813491158,0.1990315443891124,12.22716264060264,1.5912280478989297e-15,0.5775223273668829,11.715211475134883,-1.790234627208065e-15,0.35732367663655,3.224863578757078,0.8205227508436176
0.59,-0.6389633746927635,16.125814607068676,3.421759055381957,16.26900285150646,8.326672684688674e-16,1.397201299004816,25.708250008675726,4.0159551506209305e-15,-0.2819575926938182,6.057575889350916,0.19914146825881732,12.223773501026487,-1.6791026339788798e-15,0.5778370751312435,11.711460718482456,-8.673617379884035e-16,0.35700578199894534,3.2226175871231395,0.8193642238735724
0.6,-0.638447588827758,16.114079487867386,3.4195860484278113,16.25045949815615,-1.8041124150158794e-16,1.3963429388768605,25.684450303406237,-2.2290773149828344e-16,-0.2817649058511564,6.056666818975686,0.19925279796383077,12.22031014334726,-4.892758764872378e-16,0.5781558274687519,11.70763040679785,3.1155633628543455e-15,0.3566826829766016,3.2203332504639803,0.8181871114081085
0.61,-0.6379233902864023,16.102150528061944,3.4173760840844523,16.23162439138008,1.6653345369377348e-16,1.3954699909000752,25.660269940145128,-5.0105962944285015e-15,-0.28156899922900797,6.055734212835659,0.19936550962994876,12.216771790741827,4.770934251233528e-16,0.5784785149642453,11.703719804869888,-2.733924198139448e-15,0.35635439105739436,3.2180105744545036,0.8169914759358299
0.62,-0.6373907918064169,16.09002790009961,3.4151291441278526,16.21249850598998,-8.465450562766819e-16,1.3945824481200082,25.635709864751853,4.906353643675809e-17,-0.28136987390010176,6.054777676287838,0.1994795790000804,12.213157657531218,-1.3452005521053401e-15,0.5788050670888969,11.699728169227786,-1.5959455978986625e-16,0.3560209179063151,3.215649565127772,0.8157773810311113
0.63,-0.6368498063309054,16.077711779522325,3.41284521032263,16.19308283124273,4.3021142204224816e-16,1.3936803035585397,25.6107710370182,3.43047920121518e-16,-0.2811675309662084,6.053796809644713,0.1995949814354658,12.209466949378738,2.042615717139009e-16,0.579135412203629,11.695654748335485,1.1657341758564144e-15,0.355682275364697,3.2132502288871643,0.8145448913549107
0.64,-0.6363004470080971,16.06520234497798,3.4105242644355247,16.17337837075847,1.3183898417423734e-15,1.3927635502181615,25.58545443058835,-1.968592237329035e-15,-0.28096197155866875,6.0527912082439075,0.19971169191693106,12.205698863490472,-2.7366690084050255e-15,0.5794694775627676,11.69149878278796,-4.787836793695988e-16,0.3553384754494283,3.2108125725185936,0.8132940726553939
0.65,-0.6357427271910832,16.052499778231855,3.4081662882489323,16.15338614243815,2.498001805406602e-16,1.3918321810863017,25.559761032877915,3.370530444373257e-16,-0.2807531968389252,6.051760462518656,0.19982968504618528,12.201852588818003,-1.8243298209174186e-15,0.5798071893179476,11.687259505509676,4.0245584642661925e-16,0.35498953035215797,3.208336603202747,0.8120249917683541
