label,gauge_index,u,v,eta,Fp,Fm,Delta,rho,fold_res
max_slope_tested,7,0.125,0.25,0.575,2.5624717259863754,0.7879740927176737,1.7744976332687017,0.5296303027383611,2.4074282884797657e-14
max_slope_tested,7,0.125,0.25,0.6,2.592700159769533,0.8148078594293948,1.7778923003401381,0.52175733419348,6.871447129995558e-14
max_slope_tested,7,0.125,0.25,0.625,2.622893584371337,0.841783034640505,1.781110549730832,0.5140769963803494,2.8429314939309556e-14
max_slope_tested,7,0.125,0.25,0.65,2.6530513187484206,0.8688909441793387,1.784160374569082,0.5065842201189082,2.043668008643929e-13
max_slope_tested,7,0.125,0.25,0.675,2.6831726839900085,0.8961235085910176,1.787049175398991,0.4992739016969568,3.045549690405575e-13
max_slope_tested,7,0.125,0.25,0.7,2.7132570032294585,0.9234732025187822,1.7897838007106763,0.49214093415060917,2.0255702834187664e-13
max_slope_tested,7,0.125,0.25,0.725,2.743303601562099,0.9509330162986636,1.7923705852634353,0.48518023360976564,1.349763552250171e-13
max_slope_tested,7,0.125,0.25,0.75,2.7733118059687474,0.9784964197790937,1.7948153861896536,0.4783867613147781,1.9830212862930213e-13
max_slope_tested,7,0.125,0.25,0.775,2.8032809452445115,1.0061573283441694,1.7971236169003422,0.4717555418498387,6.679524539724977e-14
max_slope_tested,7,0.125,0.25,0.8,2.8332103499323495,1.0339100710935931,1.7993002788387564,0.4652816780816471,1.6459192396542229e-13
max_slope_tested,7,0.125,0.25,0.825,2.863099352260987,1.0617493611128965,1.8013499911480906,0.45896036323897227,2.017783439883848e-13
max_slope_tested,7,0.125,0.25,0.85,2.8929472860869,1.0896702677532877,1.8032770183336122,0.4527868905199862,1.9880872965027444e-13
max_slope_tested,7,0.125,0.25,0.875,2.9227534868399956,1.1176681908305877,1.805085296009408,0.4467566605696687,2.3524984870588087e-14
max_slope_tested,7,0.125,0.25,0.9,2.9525172914726694,1.1457388366463748,1.8067784548262946,0.44086518712912715,1.5133777577472178e-13
max_slope_tested,7,0.125,0.25,0.925,2.9822380384120506,1.1738781957310043,1.8083598426810463,0.435108101122179,2.592874164305089e-13
max_slope_tested,7,0.125,0.25,0.95,3.0119150675151305,1.2020825222069293,1.8098325453082011,0.4294811534117587,1.7584750135417943e-13
max_slope_tested,7,0.125,0.25,0.975,3.0415477200266143,1.23034831467146,1.8111994053551543,0.42398021642939276,5.394842425347031e-14
max_slope_tested,7,0.125,0.25,1.0,3.07113533853926,1.2586722984999554,1.8124630400393047,0.41860128485493014,1.8537895997979537e-14
min_slope_tested,6,0.125,0.125,0.0,,,0.0,0.0,
min_slope_tested,6,0.125,0.125,0.025,0.5445604854757364,0.869546710943496,-0.32498622546775957,-0.22981724885544866,5.804294746820073e-14
min_slope_tested,6,0.125,0.125,0.05,0.5867019583035502,0.8828062541679502,-0.2961042958644,-0.20149890511084342,1.0180491022075475e-13
