theta_deg,forward,reverse,rho
0.9,4.362619730271085,3.5538243452783163,0.10216650017029752
0.925,4.348442417731448,3.5420861958604575,0.10219292792145686
0.9500000000000001,4.333907895366615,3.530053515898166,0.1022200310287589
0.9750000000000001,4.319018641168102,3.5177284506285,0.10224780526328099
1.0,4.3037771923060575,3.5051131959953374,0.10227624625224725
1.0250000000000001,4.288186144602273,3.492209998145164,0.10230534947749219
1.05,4.272248151991626,3.479021152911192,0.10233511027396548
1.075,4.255965925972099,3.4655490052859452,0.10236552382828498
1.1,4.239342235043449,3.451795948882399,0.10239658517733936
1.125,4.222379904134703,3.4377644253838477,0.10242828920694363
1.1500000000000001,4.205081814020552,3.423456923982578,0.102460630650553
1.175,4.187450900726866,3.408875980807544,0.10249360408803976
1.2000000000000002,4.169490154925304,3.3940241783411027,0.10252720394453275
1.225,4.151202621317344,3.3789041448250305,0.10256142448933123
1.25,4.132591398007625,3.363518553655865,0.10259625983488833
1.2750000000000001,4.113659635866939,3.347870122769819,0.10263170393587381
1.3,4.0944105378848406,3.3319616140172896,0.10266775058832238
1.3250000000000002,4.074847358512088,3.315795832527238,0.10270439342886292
1.35,4.054973402992965,3.2993756260614755,0.10274162593404104
1.375,4.034792026687652,3.282703884359063,0.10277944141973669
1.4000000000000001,4.014306634384743,3.2657835384709926,0.10281783304067649
1.425,3.993520679604027,3.2486175600852545,0.10285679379005226
1.4500000000000002,3.972437663889623,3.2312089608424874,0.10289631649924255
1.475,3.9510611360936263,3.213560791642368,0.10293639383764483
1.5,3.9293946916503373,3.195676141940895,0.10297701831262043
1.5250000000000001,3.907441971841206,3.1775581390387533,0.10301818226955553
1.55,3.8852066630505924,3.1592099473609054,0.1030598778920428
1.5750000000000002,3.862692496012429,3.140634767727601,0.10310209720218373
1.6,3.8399032450479456,3.1218358366169885,0.10314483206101825
1.625,3.8168427272945102,3.1028164254194857,0.10318807416908282
1.6500000000000001,3.79351480192571,3.083579839684119,0.1032318150670972
1.675,3.7699233693627834,3.064129418356998,0.10327604613678695
1.7000000000000002,3.7460723704774925,3.0444685330121293,0.10332075860183876
1.725,3.721965785786566,3.024600587074762,0.10336594352899549
1.75,3.6976076346377864,3.004529015037464,0.10341159182928707
1.7750000000000001,3.6730019743878226,2.984257281669094,0.10345769425940468
1.8,3.648152899571963,2.963788881216952,0.10350424142321399
1.8250000000000002,3.6230645410657885,2.9431273366022297,0.10355122377341162
1.85,3.597741065238929,2.922276198609019,0.1035986316133261
1.875,3.572186673101007,2.9012390450670877,0.10364645509886063
1.9000000000000001,3.5464055994398485,2.88001948002862,0.10369468424058025
1.925,3.5204021119521327,2.858621132939169,0.1037433089059453
1.9500000000000002,3.494180510366496,2.8370476578030095,0.10379231882168569
1.975,3.467745125559292,2.8153027323431656,0.10384170357631795
2.0,3.4411003186630804,2.7933900571562758,0.10389145262281049
2.025,3.414250480167951,2.771313354862598,0.10394155528138328
2.0500000000000003,3.387200029015839,2.7490763692513513,0.10399200074245124
2.075,3.3599534116879046,2.726682864421612,0.10404277806970741
2.1,3.332515101285178,2.7041366239190747,0.10409387620334212
2.125,3.304889596602492,2.6814414498688337,0.10414528396339742
2.15,3.277081421195929,2.6586011621045045,0.10419699005325339
2.1750000000000003,3.249095122443898,2.6356195972939065,0.10424898306324785
2.2,3.2209352706019203,2.612500608061535,0.10430125147442067
2.225,3.1926064578513715,2.589248062108133,0.1043537836623853
2.25,3.1641132973422197,2.5658658413275406,0.10440656790132134
2.275,3.1354604222300244,2.542357840921182,0.10445959236808483
2.3000000000000003,3.10665248470725,2.518727968510338,0.10451284514643498
2.325,3.077694155029165,2.4949801432465772,0.10456631423137132
2.35,3.0485901205343886,2.4711182949205197,0.10461998753357633
2.375,3.0193450846603445,2.447146363069261,0.1046738528839617
2.4000000000000004,2.9899637659537817,2.423068296082685,0.10472789803831718
2.4250000000000003,2.960450897076529,2.3988880503089876,0.10478211068204454
2.45,2.930811223806695,2.3746095891596095,0.10483647843498929
2.475,2.9010495040355258,2.3502368822139252,0.10489098885635131
2.5,2.8711705067601105,2.325773904323922,0.10494562944967584
2.5250000000000004,2.841179011072147,2.3012246347191416,0.10500038766791903
2.5500000000000003,2.811079805143018,2.276593056112206,0.10505525091857891
2.575,2.780877685205363,2.251883153805126,0.10511020656889486
2.6,2.7505774545314328,2.227098914796782,0.10516524195109517
2.625,2.720183922408405,2.20224432689173,0.10522034436770407
2.6500000000000004,2.68970190311099,2.177323377810726,0.10527550109688964
2.6750000000000003,2.6591362148715083,2.1523400543031777,0.10533069939785063
2.7,2.628491678847742,2.1272983412618225,0.1053859265162369
2.725,2.5977731180888446,2.10220222083993,0.10544116968959794
2.75,2.5669853564995493,2.07705567157129,0.1054964161528476
2.7750000000000004,2.53613321780298,2.0518626674932556,0.1055516531437465
2.8000000000000003,2.505221524502381,2.026627177273164,0.10560686790838957
2.825,2.4742550968420036,2.00135316333835,0.1056620477066948
2.85,2.4432387517675345,1.9760445810100995,0.10571717981788493
2.875,2.412177301886298,1.9507053776417453,0.1057722515459601
2.9000000000000004,2.381075554427617,1.9253394917612587,0.10582725022514475
2.9250000000000003,2.3499383102036235,1.8999508522185378,0.10588216322531623
2.95,2.3187703625708416,1.8745433773377087,0.1059369779573948
2.975,2.2875764963929153,1.849120974074696,0.10599168187869833
3.0,2.2563614870047894,1.823687537180338,0.10604626249824672
