eta,Fc_forward,Fc_reverse,DeltaFc,rho
0.11500000000000024,2.565084569572978,2.2393695900640718,0.32571497950890604,0.0677943776101117
0.11750000000000024,2.568722485397267,2.235939325111651,0.33278316028561594,0.06926255653576728
0.12000000000000025,2.5723622483470403,2.2325117179934,0.3398505303536403,0.07073037351955401
0.12250000000000025,2.576003851083986,2.229086778523612,0.3469170725603741,0.07219782087413087
0.12500000000000025,2.5796472862972304,2.225664516537497,0.35398276975973353,0.07366489091320019
0.12750000000000025,2.583292546703296,2.2222449418909886,0.36104760481230747,0.07513157595154275
0.13000000000000025,2.5869396250460808,2.2188280644605474,0.3681115605855334,0.07659786830505838
0.13250000000000026,2.5905885140968192,2.2154138941429244,0.3751746199538948,0.07806376029081247
0.13500000000000026,2.594239206654051,2.212002440854956,0.38223676579909505,0.07952924422707748
0.13750000000000026,2.597891695543592,2.208593714533344,0.3892979810102477,0.08099431243337869
0.14000000000000026,2.60154597361849,2.2051877251344205,0.39635824848406953,0.08245895723054164
0.14250000000000027,2.605202033758994,2.20178448263393,0.40341755112506394,0.08392317094073756
0.14500000000000027,2.6088598688725146,2.1983839970267907,0.410475871845724,0.08538694588753404
0.14750000000000027,2.612519471893588,2.194986278326857,0.4175331935667308,0.08685027439594536
0.15000000000000027,2.6161808357838314,2.191591336566683,0.4245894992171486,0.08831314879248267
0.175,2.652889793326564,2.157796870680794,0.4950929226457701,0.10291522961783421
0.19999999999999998,2.6897672949634526,2.1242912634862865,0.5654760314771661,0.11746347174872444
0.22499999999999998,2.7268067418919038,2.091084813932392,0.6357219279595117,0.1319502360303221
0.24999999999999997,2.7640017949489026,2.0581879441828606,0.7058138507660421,0.14636791353073636
0.27499999999999997,2.8013463684116657,2.0256111643199017,0.775735204091764,0.16070893494121477
0.29999999999999993,2.838834623259307,1.9933650328583408,0.8454695904009664,0.1749657817492262
0.32499999999999996,2.8764609600200184,1.961460113133098,0.9150008468869204,0.18913099925596108
0.35,2.9142200113131183,1.9299069257207442,0.9843130855923741,0.20319721146594993
0.37499999999999994,2.9521066341813262,1.898715897163931,1.0533907370173952,0.21715713782777019
0.3999999999999999,2.990115902295798,1.8678973053837402,1.1222185969120577,0.23100361175182824
0.42499999999999993,3.028243098104705,1.837461222286022,1.190781875818683,0.244729600775055
0.4499999999999999,3.0664837049856035,1.8074174541886132,1.2590662507969903,0.2583282281847327
0.4749999999999999,3.1048333994523505,1.7777754808125892,1.3270579186397613,0.2717927958562498
0.49999999999999994,3.1432880434588957,1.7646406728424218,1.378647370616474,0.280902077089547
0.5249999999999999,3.181843676834773,1.8333406671478416,1.3485030096869313,0.26888403639736796
0.5499999999999998,3.2204965098805696,1.9024777146234835,1.318018795257086,0.2572760934366562
0.575,3.2592429161458987,1.972020938874931,1.2872219772709677,0.24606328660626167
0.5999999999999999,3.298079425407378,2.041941843850826,1.256137581556552,0.2352308199197576
0.6249999999999999,3.337002716859797,2.1122141431363044,1.2247885737234925,0.22476414596653965
0.6499999999999999,3.3760096125299577,2.182813595796451,1.1931960167335065,0.214649031281702
0.6749999999999998,3.415097070919471,2.2537178500665576,1.1613792208529135,0.20487160668334262
0.7,3.454262180880096,2.3249062957077533,1.1293558851723429,0.1954184048704425
0.7249999999999999,3.4935021557229637,2.396359925468133,1.0971422302548306,0.18627638731278362
0.7499999999999998,3.532814327561092,2.4680612057970137,1.0647531217640784,0.17743296221447202
0.7749999999999999,3.5721961418830572,2.5399939567390146,1.0322021851440426,0.16887599509981563
0.7999999999999998,3.61164515235437,2.6121432407730563,0.9995019115813135,0.16059381335731246
0.825,3.65115901584208,2.6844952602473766,0.9666637555947033,0.1525752058856588
0.8499999999999999,3.690735487657309,2.7570372629855235,0.9336982246717853,0.14480941881500045
0.8749999999999998,3.7303724170097134,2.8297574555918934,0.90061496141782,0.1372861481263107
0.8999999999999999,3.770067742667445,2.9026449239614824,0.8674228187059625,0.1299955298605997
0.9249999999999998,3.8098194888157644,2.9756895604918157,0.8341299283239487,0.12292812849598464
0.9499999999999997,3.8496257611072333,3.0488819975006787,0.8007437636065546,0.11607492397285368
0.9749999999999999,3.8894847428962125,3.122213546368004,0.7672711965282084,0.10942729776365251
0.9999999999999998,3.929394691650338,3.195676141940895,0.733718549709443,0.10297701831262054
