phi_deg,R,N,theta_deg,Fc_forward,Fc_reverse,rho,DeltaFc
15,9.2,127,2.4000000000000004,2.7203014481814773,2.368033513351506,0.06923049238956595,0.35226793482997154
15,9.2,127,2.5,2.5890959886486242,2.278376531843405,0.06383589337116792,0.3107194568052192
15,9.2,127,2.6,2.457183685550146,2.188893744845609,0.05774547340716277,0.26828994070453716
15,9.2,127,2.7,2.3250079950914038,2.099853134688657,0.050884051227600466,0.22515486040274668
15,9.2,127,2.8000000000000003,2.193007561999764,2.0115080068679325,0.04316776859520839,0.1814995551318317
15,9.2,127,2.9000000000000004,2.061614317694366,1.9240963724305558,0.03450274140682802,0.13751794526381023
15,9.2,127,3.0,1.9312517000197145,1.8378405498641468,0.024783460834222348,0.09341115015556767
20,9.2,127,0.0,4.619355714493359,3.766590196151397,0.10168984243739265,0.8527655183419625
20,9.2,127,0.1,4.615553698327614,3.7634474733939776,0.10169544167262103,0.8521062249336362
20,9.2,127,0.2,4.604145827104566,3.7540613617869334,0.1017065557369097,0.8500844653176327
20,9.2,127,0.30000000000000004,4.585151064787938,3.738512677412108,0.10171463115256187,0.8466383873758305
20,9.2,127,0.4,4.558617286774366,3.716905579392435,0.10171100013790542,0.8417117073819309
20,9.2,127,0.5,4.524621135642698,3.6893670950337,0.10168678322299193,0.8352540406089979
20,9.2,127,0.6000000000000001,4.483267732853332,3.6560465199857615,0.10163278959023185,0.8272212128675709
20,9.2,127,0.7000000000000001,4.43469024767177,3.6171146879429203,0.101539414611568,0.8175755597288497
20,9.2,127,0.8,4.37904932582699,3.5727631032487777,0.10139653440893927,0.8062862225782119
20,9.2,127,0.9,4.31653238151995,3.5232029310990867,0.10119339732604242,0.7933294504208637
20,9.2,127,1.0,4.247352757359121,3.4686638436563046,0.10091851196903096,0.7786889137028168
20,9.2,127,1.1,4.171748757619114,3.409392725263829,0.10055953105169826,0.7623560323552852
20,9.2,127,1.2000000000000002,4.089982560899964,3.345652244902981,0.10010312978470783,0.744330315996983
20,9.2,127,1.3,4.002339018815568,3.277719308273063,0.09953487705534467,0.724619710542505
20,9.2,127,1.4000000000000001,3.909124347763233,3.2058834050932252,0.09883909717282854,0.7032409426700079
20,9.2,127,1.5,3.810664721129692,3.1304448694898532,0.09799871947838301,0.6802198516398388
20,9.2,127,1.6,3.7073047694827896,3.0517130728638615,0.09699511259039885,0.6555916966189281
20,9.2,127,1.7000000000000002,3.5994059964023166,2.97000456964602,0.09580789941933819,0.6294014267562966
20,9.2,127,1.8,3.4873451176486054,2.885641216988822,0.09441474829304108,0.6017039006597833
20,9.2,127,1.9000000000000001,3.371512331394203,2.798948289771306,0.09279113453198704,0.572564041622897
20,9.2,127,2.0,3.2523095273001794,2.7102526123105717,0.09091006555530746,0.5420569149896077
20,9.2,127,2.1,3.1301484423565356,2.619880727852891,0.08874176102398096,0.5102677145036445
20,9.2,127,2.2,3.0054487716756584,2.528157126224822,0.08625327756570574,0.47729164545083647
20,9.2,127,2.3000000000000003,2.8786362428728296,2.43540254893642,0.08340806518378904,0.44323369393640943
20,9.2,127,2.4000000000000004,2.750140663323239,2.3419323895382615,0.08016543940892286,0.4082082737849775
20,9.2,127,2.5,2.620393950474564,2.248055205154871,0.07647994944943694,0.37233874531969313
20,9.2,127,2.6,2.4898281565327545,2.1540713528829802,0.07230061782538807,0.3357568036497742
20,9.2,127,2.7,2.3588735002368817,2.060271762205034,0.06757002096528672,0.29860173803184775
20,9.2,127,2.8000000000000003,2.22795642011136,1.9669368517927037,0.06222317265301473,0.26101956831865647
20,9.2,127,2.9000000000000004,2.097497665562811,1.8743355961373676,0.056186162590802405,0.22316206942544325
20,9.2,127,3.0,1.967910444543224,1.782724744425424,0.0493744901296899,0.1851857001178001
25,9.238,127,0.0,4.619355714493359,3.766590196151397,0.10168984243739265,0.8527655183419625
25,9.238,127,0.1,4.615560612803206,3.763446518760869,0.10169630848413852,0.8521140940423368
25,9.238,127,0.2,4.604184160614544,3.754039634547256,0.10171353949141661,0.8501445260672877
25,9.238,127,0.30000000000000004,4.585262230239061,3.738424300927651,0.10173832545718305,0.8468379293114099
25,9.238,127,0.4,4.558860678414869,3.716679714742308,0.10176748872725437,0.8421809636725612
25,9.238,127,0.5,4.525075036211526,3.688909051663752,0.10179785784854939,0.8361659845477742
25,9.238,127,0.6000000000000001,4.484030038865987,3.6552388664494955,0.10182624287977947,0.8287911724164911
25,9.238,127,0.7000000000000001,4.435878999871367,3.615818353433891,0.10184941267083732,0.8200606464374758
25,9.238,127,0.8,4.380803034708324,3.570818465132386,0.10186407509363522,0.8099845695759385
25,9.238,127,0.9,4.31901014038756,3.520430888126747,0.10186686134332154,0.7985792522608128
25,9.238,127,1.0,4.250734137503117,3.4648668793196755,0.10185431523350771,0.7858672581834414
25,9.238,127,1.1,4.176233481841086,3.4043559708914515,0.10182288801715804,0.7718775109496345
25,9.238,127,1.2000000000000002,4.095789952808452,3.3391445573670806,0.10176893883945015,0.756645395441371
25,9.238,127,1.3,4.009707226097115,3.269494382092661,0.10168874058545734,0.740212844004454
25,9.238,127,1.4000000000000001,3.9183093381139322,3.195680942758498,0.10157849066766145,0.7226283953554344
25,9.238,127,1.5,3.8219390498156134,3.1179918365208117,0.10143432619491315,0.7039472132948017
25,9.238,127,1.6,3.720956117703227,3.036725065109746,0.10125234293883344,0.6842310525934807
25,9.238,127,1.7000000000000002,3.6157354798713786,2.9521873194324053,0.10102861752719003,0.6635481604389732
25,9.238,127,1.8,3.5066653651899604,2.864692261864594,0.10075923231798675,0.6419731033253666
25,9.238,127,1.9000000000000001,3.3941453339454353,2.7745588228509295,0.10044030242751663,0.6195865110945058
25,9.238,127,2.0,3.278584258609237,2.6821095266991177,0.10006800439577739,0.5964747319101193
25,9.238,127,2.1,3.160398253857748,2.5876688596143533,0.09963860597609468,0.5727293942433946
25,9.238,127,2.2,3.040008565559148,2.491561691109411,0.09914849653921674,0.5484468744497368
25,9.238,127,2.3000000000000003,2.9178394291725764,2.3941117579776683,0.09859421759405843,0.5237276711949082
25,9.238,127,2.4000000000000004,2.794315908865552,2.295640218068327,0.09797249295695211,0.49867569079722474
25,9.238,127,2.5,2.6698617296180154,2.196464279198004,0.09728025815828753,0.47339745042001136
25,9.238,127,2.6,2.5448971156013633,2.0968959067182293,0.09651468876982783,0.448001208883134
25,9.238,127,2.7,2.419836649137541,1.9972406115809336,0.0956732274789028,0.4225960375566076
25,9.238,127,2.8000000000000003,2.295087165485086,1.8977963192480571,0.0947536099401805,0.39729084623702904
25,9.238,127,2.9000000000000004,2.1710456994880483,1.7988523185150704,0.09375388971835433,0.3721933809729778
25,9.238,127,3.0,2.0480975006822986,1.700688288291488,0.09267246301792888,0.3474092123908106
