direction,F0,u,v,m,n,res,x,y,vx,vy
dec,1.65,1.0000000000000022,-1.0000000000000044,1,-1,3.8459253727671274e-15,1410.00048397254,-3481.4268693885097,0.0012636908572430134,0.016788235080776898
dec,1.6,0.9999999999999873,-0.9999999999999519,1,-1,4.31594113758291e-14,1424.9863384241778,-3507.397933221249,0.16099910144492519,-0.08396659767961603
dec,1.55,0.0,0.0,0,0,0.0,1425.022329562852,-3508.004082266597,-0.021816501485058884,0.03341741191849107
dec,1.5,0.0,0.0,0,0,0.0,1425.0061150046886,-3507.999108608004,-0.007234333259693852,0.029081815915916683
dec,1.45,0.0,0.0,0,0,0.0,1425.0020290945426,-3507.998216705851,-0.0024943832056407438,0.027818319829122237
dec,1.4,0.0,0.0,0,0,0.0,1425.000587286251,-3507.997695864099,-0.0007340115788640871,0.02697440143609999
dec,1.35,0.0,0.0,0,0,0.0,1425.0000793076892,-3507.997209769916,-9.399680979914395e-05,0.026170452828494853
dec,1.3,0.0,0.0,0,0,0.0,1425.0000001413346,-3507.407010749609,-6.306385852597909e-07,0.014865213291743715
dec,1.25,0.0,0.0,0,0,0.0,1425.0000001306764,-3507.406847432054,-5.827406810060827e-07,0.014269493476033379
dec,1.2,0.0,0.0,0,0,0.0,1425.0000001204785,-3507.4066845772445,-5.368375335034099e-07,0.013676039415605024
dec,1.15,0.0,0.0,0,0,0.0,1425.0000001106923,-3507.4065220924963,-4.928479921419419e-07,0.013084666577650788
dec,1.1,0.0,0.0,0,0,0.0,1425.0000001013154,-3507.406359971473,-4.507628020107416e-07,0.012495331111067197
dec,1.05,0.0,0.0,0,0,0.0,1425.0000000923471,-3507.406198214121,-4.1057175932581284e-07,0.011908007698493808
dec,1.0,0.0,0.0,0,0,0.0,1425.0000000837902,-3507.406036821103,-3.722769257527069e-07,0.011322673901717217
