F0,period,u_mean,v_mean,m_mean,n_mean,mean_lock_residual,max_cycle_lock_residual,std_u_cycle,std_v_cycle,all_cycles_same_winding,cycle_m,cycle_n,max_onecycle_relative_state_residual
3.25,50.0,2.0000000000000053,-3.999999999999999,2.0,-4.0,5.824175385795272e-15,3.083069949399898e-13,0.0,1.1920928955078125e-07,1.0,2.0,-4.0,3.904111490255277e-13
3.5,50.0,3.9999999999999964,-6.000000000000009,4.0,-6.0,1.109334490649587e-14,3.3704557175718167e-13,0.0,0.0,1.0,4.0,-6.0,4.940756901824244e-13
3.75,50.0,6.000000000001298,-5.000000000000261,6.0,-5.0,1.1887739774295788e-12,6.702608295093658e-11,0.0,1.0323827311807139e-07,1.0,6.0,-5.0,8.80713356159221e-11
4.0,50.0,8.000000000000224,-5.000000000000645,8.0,-5.0,5.670641877895575e-13,1.5701265556974467e-11,0.0,0.0,1.0,8.0,-5.0,5.7880369817001326e-11
1.0,60.0,1.8487879074807095e-17,-3.695693912893412e-17,0.0,0.0,3.2005649514948e-17,8.916478671508857e-16,9.725536164396296e-17,1.9447161867118588e-16,1.0,0.0,0.0,9.349756852205427e-16
1.25,60.0,2.3187189941212737e-17,-4.633388608271855e-17,0.0,0.0,4.0126327511768486e-17,1.1193306892762547e-15,1.2265598013269216e-16,2.445743247876037e-16,1.0,0.0,0.0,1.1592861065957996e-15
1.5,60.0,0.9999999999999998,-1.0000000000000002,1.0,-1.0,3.8459253727671276e-16,1.3550179913572753e-14,2.5809568279517847e-08,3.332000937312528e-08,1.0,1.0,-1.0,2.8839565782415346e-14
1.75,60.0,1.000000000000003,-0.9999999999999997,1.0,-1.0,3.2878350919498195e-15,1.2781111970994596e-13,2.1073424255447017e-08,3.650024149988857e-08,1.0,1.0,-1.0,2.2825068373989124e-13
2.0,60.0,1.9999999999999996,-1.9999999999999993,2.0,-2.0,5.874748045952207e-16,1.1924436178121269e-14,2.1073424255447017e-08,7.300048299977713e-08,1.0,2.0,-2.0,4.966687355227612e-14
2.25,60.0,1.000000000000001,-2.9999999999999933,1.0,-3.0,7.28021923224409e-15,2.8964286748949807e-13,0.0,0.0,1.0,1.0,-3.0,1.6360991196794474e-12
2.5,60.0,2.000000000000077,-3.000000000000017,2.0,-3.0,6.993382870359643e-14,2.9598241668815815e-12,0.0,5.960464477539063e-08,1.0,2.0,-3.0,4.161783705489085e-12
2.75,60.0,1.999999999999999,-3.999999999999998,2.0,-4.0,1.9229626863835637e-15,4.692028954775896e-14,7.884953353001448e-08,1.5769906706002895e-07,1.0,2.0,-4.0,9.356924397230182e-14
3.0,60.0,3.0000000000000004,-5.000000000000005,3.0,-5.0,5.121486610213742e-15,1.0460917013926588e-13,4.2146848510894035e-08,0.0,1.0,3.0,-5.0,1.194889937821727e-13
3.25,60.0,1.9999999999998213,-4.999999999999959,2.0,-5.0,1.6222345422897248e-13,5.748388442073659e-12,0.0,0.0,1.0,2.0,-5.0,7.148784786920562e-12
3.5,60.0,1.9999999999999911,-6.999999999999957,2.0,-7.0,3.8958546965271006e-14,1.9552022415037457e-12,0.0,0.0,1.0,2.0,-7.0,2.410937029760187e-12
3.75,60.0,3.000000000000635,-7.000000000000002,3.0,-7.0,6.341612575841941e-13,6.57536939431916e-11,0.0,1.1920928955078125e-07,1.0,3.0,-7.0,8.447627427306312e-11
4.0,60.0,2.0000000000000506,-5.0000000000001386,2.0,-5.0,1.214338375466096e-13,7.411128103797231e-12,4.2146848510894035e-08,0.0,1.0,2.0,-5.0,2.1160266490045343e-11
1.0,70.0,-1.3700532026341682e-17,2.741098178279175e-17,0.0,0.0,2.373860708451e-17,2.1662363171602988e-16,4.236140924505957e-17,8.461555328485245e-17,1.0,0.0,0.0,1.1119681553944028e-15
1.25,70.0,-1.7259079114821673e-17,3.4478120041017816e-17,0.0,0.0,2.985893454120998e-17,2.7148891815769133e-16,5.289238158026636e-17,1.0507933527426145e-16,1.0,0.0,0.0,1.3964864927467083e-15
1.5,70.0,0.9999999999999994,-0.9999999999999998,1.0,-1.0,4.839349969133127e-16,5.452540267207284e-15,2.1073424255447017e-08,3.650024149988857e-08,1.0,1.0,-1.0,1.4529916072122468e-14
1.75,70.0,1.0000000000000007,-2.000000000000001,1.0,-2.0,8.005932084973442e-16,5.4616202739420904e-14,2.9802322387695312e-08,7.300048299977713e-08,1.0,1.0,-2.0,7.79508945430359e-14
2.0,70.0,2.000000000000001,-2.0000000000000004,2.0,-2.0,7.691850745534255e-16,8.740663963246268e-14,4.2146848510894035e-08,5.1619136559035694e-08,1.0,2.0,-2.0,1.6793237890825074e-13
2.25,70.0,1.0,-3.0,1.0,-3.0,0.0,2.86807375937093e-14,0.0,0.0,1.0,1.0,-3.0,1.0720605151617052e-13
2.5,70.0,1.9999999999999993,-3.999999999999998,2.0,-4.0,1.9735756178897087e-15,1.8465782579727898e-14,4.2146848510894035e-08,1.4600096599955427e-07,1.0,2.0,-4.0,6.803684941023227e-14
2.75,70.0,3.000000000000002,-5.000000000000006,3.0,-5.0,5.457059571975845e-15,1.3325858554781336e-13,0.0,0.0,1.0,3.0,-5.0,1.6930136223742006e-13
3.0,70.0,3.000000000000002,-6.000000000000004,3.0,-6.0,3.8459253727671274e-15,1.1384285577881467e-13,0.0,0.0,1.0,3.0,-6.0,3.118873796537503e-13
3.25,70.0,4.0000000000000275,-6.000000000000002,4.0,-6.0,2.6689724566105468e-14,6.550042882802618e-12,5.960464477539063e-08,8.429369702178807e-08,1.0,4.0,-6.0,9.230061522643409e-12
3.5,70.0,1.99999999999979,-6.999999999999931,2.0,-7.0,1.8539168804129426e-13,6.557798223355429e-12,4.2146848510894035e-08,0.0,1.0,2.0,-7.0,7.677792406136032e-12
3.75,70.0,2.000000000000065,-7.000000000000014,2.0,-7.0,5.90287948238926e-14,2.1091540505310924e-12,0.0,1.1920928955078125e-07,1.0,2.0,-7.0,2.751773121067986e-12
4.0,70.0,9.999999999998712,-6.00000000000008,10.0,-6.0,1.3296300894199144e-12,3.653874820539811e-11,0.0,8.429369702178807e-08,1.0,10.0,-6.0,4.835936673625329e-11
1.0,80.0,-1.2287610994252509e-17,2.4569103333513963e-17,0.0,0.0,2.1277467854966907e-17,7.947210725743154e-16,1.0537058237419401e-16,2.1078213236144766e-16,1.0,0.0,0.0,1.5669133405197361e-15
1.25,80.0,-1.5508284408323508e-17,3.097271931063109e-17,0.0,0.0,2.6823170707732327e-17,9.96598647777354e-16,1.3166048047350485e-16,2.636892036296476e-16,1.0,0.0,0.0,1.9600955219454324e-15
1.5,80.0,0.9999999999999994,-0.9999999999999997,1.0,-1.0,4.839349969133127e-16,7.198492947256752e-15,2.356080457693621e-08,3.650024149988857e-08,1.0,1.0,-1.0,2.2804985378250196e-14
1.75,80.0,1.9999999999999996,-1.9999999999999993,2.0,-2.0,5.874748045952207e-16,3.346028750227531e-14,2.1073424255447017e-08,2.1073424255447017e-08,1.0,2.0,-2.0,1.0406144221485888e-13
2.0,80.0,3.0,-3.000000000000001,3.0,-3.0,8.881784197001251e-16,3.1367288120539e-14,5.960464477539063e-08,0.0,1.0,3.0,-3.0,7.685090211413666e-14
2.25,80.0,2.0000000000000187,-3.0000000000000027,2.0,-3.0,1.7472526157385816e-14,1.0131825979173446e-12,2.9802322387695312e-08,0.0,1.0,2.0,-3.0,1.6670520299003365e-12
2.5,80.0,1.9999999999999996,-5.000000000000001,2.0,-5.0,1.1749496091904413e-15,3.769006865311785e-14,0.0,0.0,1.0,2.0,-5.0,1.4721975681563764e-13
2.75,80.0,4.0,-5.999999999999998,4.0,-6.0,1.7763568394002503e-15,5.691969551695349e-14,0.0,8.429369702178807e-08,1.0,4.0,-6.0,2.304531713673466e-13
3.0,80.0,4.000000000004521,-7.0000000000022435,4.0,-7.0,3.915188398111151e-12,9.5530456142158e-10,8.429369702178807e-08,8.429369702178807e-08,1.0,4.0,-7.0,1.5245163707824702e-09
3.25,80.0,6.000000000000556,-8.000000000000288,6.0,-8.0,4.816089640365134e-13,9.561677576066469e-11,1.1920928955078125e-07,0.0,1.0,6.0,-8.0,1.4922532704026646e-10
3.5,80.0,7.000000000000213,-8.999999999999863,7.0,-9.0,3.0545590913570555e-13,1.808062066828217e-11,8.429369702178807e-08,0.0,1.0,7.0,-9.0,5.471842757890809e-11
3.75,80.0,2.0000000000000013,-8.0,2.0,-8.0,1.3322676295501878e-15,8.757907616242533e-14,0.0,1.6858739404357614e-07,1.0,2.0,-8.0,4.4125467332564244e-13
4.0,80.0,1.9999999999999996,-7.0,2.0,-7.0,4.440892098500626e-16,8.056027971186088e-14,0.0,0.0,1.0,2.0,-7.0,1.8343925605188966e-13
