name,F0,period,du,dv,dvy,u,v,m,n,lock_residual,expected_winding
w23,3.025,40.0,0.0,-0.05,-0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.0,-0.05,0.0,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.0,-0.05,0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.0,0.0,-0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.0,0.0,0.0,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.0,0.0,0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.0,0.05,-0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.0,0.05,0.0,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.0,0.05,0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.05,-0.05,-0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.05,-0.05,0.0,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.05,-0.05,0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.05,0.0,-0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.05,0.0,0.0,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.05,0.0,0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.05,0.05,-0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.05,0.05,0.0,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w23,3.025,40.0,0.05,0.05,0.1,2.0,-3.0000000000000004,2,-3,4.4408920985006257e-16,1
w34,3.4,40.0,-0.05,-0.05,-0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,-0.05,-0.05,0.0,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,-0.05,-0.05,0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,-0.05,0.0,-0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,-0.05,0.0,0.0,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,-0.05,0.0,0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,-0.05,0.05,-0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,-0.05,0.05,0.0,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,-0.05,0.05,0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.0,-0.05,-0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.0,-0.05,0.0,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.0,-0.05,0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.0,0.0,-0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.0,0.0,0.0,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.0,0.0,0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.0,0.05,-0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.0,0.05,0.0,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.0,0.05,0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.05,-0.05,-0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.05,-0.05,0.0,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.05,-0.05,0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.05,0.0,-0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.05,0.0,0.0,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.05,0.0,0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
