F0,period,u,v,m,n,res,dy
2.35,40.0,1.0000000000000004,-2.0000000000000013,1.0,-2.0,1.1749496091904413e-15,-1.7320508075688785
2.375,40.0,0.9999999999999998,-2.0,1.0,-2.0,2.220446049250313e-16,-1.7320508075688772
2.4,40.0,1.0000000000000004,-2.000000000000001,1.0,-2.0,7.691850745534255e-16,-1.7320508075688779
2.425,40.0,1.0000000000000004,-2.000000000000001,1.0,-2.0,7.691850745534255e-16,-1.7320508075688779
2.45,40.0,1.0000000000000004,-2.000000000000001,1.0,-2.0,7.691850745534255e-16,-1.7320508075688779
2.475,40.0,1.0,-2.0,1.0,-2.0,0.0,-1.7320508075688772
2.5,40.0,1.0000000000000002,-2.0000000000000004,1.0,-2.0,3.8459253727671276e-16,-1.7320508075688774
2.525,40.0,0.9999999999999983,-1.9999999999999967,1.0,-2.0,2.8844440295753456e-15,-1.7320508075688743
2.55,40.0,0.999999999999996,-1.999999999999992,1.0,-2.0,6.9226656709808295e-15,-1.7320508075688703
2.575,40.0,0.9999999999999999,-1.9999999999999996,1.0,-2.0,4.002966042486721e-16,-1.7320508075688767
2.6,40.0,0.9999999999999999,-1.9999999999999996,1.0,-2.0,4.002966042486721e-16,-1.7320508075688767
2.625,40.0,1.0000000000000007,-2.000000000000001,1.0,-2.0,8.005932084973442e-16,-1.7320508075688779
2.65,40.0,1.0000000000000022,-2.000000000000001,1.0,-2.0,1.9357399876532506e-15,-1.7320508075688779
2.675,40.0,1.0000000000000004,-2.0,1.0,-2.0,4.440892098500626e-16,-1.7320508075688772
2.7,40.0,1.0000000000000009,-2.000000000000001,1.0,-2.0,8.881784197001251e-16,-1.7320508075688779
2.725,40.0,1.0000000000000002,-2.0,1.0,-2.0,2.220446049250313e-16,-1.7320508075688772
2.75,40.0,1.0000000000000016,-2.0,1.0,-2.0,1.5543122344752192e-15,-1.7320508075688772
2.775,40.0,1.0000000000000056,-2.000000000000002,1.0,-2.0,4.839349969133126e-15,-1.732050807568879
2.8,40.0,2.000000000000405,-3.0000000000002007,2.0,-3.0,3.5075289212584995e-13,-2.5980762113534897
2.825,40.0,1.9999999999997768,-2.9999999999999445,2.0,-3.0,2.0122620044606928e-13,-2.5980762113532676
2.85,40.0,2.0,-2.999999999999983,2.0,-3.0,1.687538997430238e-14,-2.5980762113533014
2.875,40.0,1.999999999999997,-3.0000000000000004,2.0,-3.0,3.352800008858181e-15,-2.598076211353316
2.9,40.0,2.000000000000007,-2.9999999999999973,2.0,-3.0,8.747542958250513e-15,-2.5980762113533133
2.925,40.0,1.9999999999999967,-3.0000000000000004,2.0,-3.0,3.5734697288860764e-15,-2.598076211353316
2.95,40.0,1.9999999999999996,-2.999999999999999,2.0,-3.0,7.691850745534255e-16,-2.598076211353315
2.975,40.0,2.0000000000000004,-3.0000000000000018,2.0,-3.0,1.6011864169946884e-15,-2.5980762113533173
3.0,40.0,1.9999999999999982,-2.999999999999996,2.0,-3.0,3.4684476073050936e-15,-2.5980762113533125
3.025,40.0,1.9999999999999996,-2.999999999999999,2.0,-3.0,7.691850745534255e-16,-2.598076211353315
3.05,40.0,2.000000000000001,-3.000000000000002,2.0,-3.0,1.9357399876532502e-15,-2.598076211353318
3.075,40.0,2.0000000000002234,-3.0000000000004468,2.0,-3.0,3.8690009250037304e-13,-2.598076211353703
3.1,40.0,2.0000000000004166,-3.0000000000008327,2.0,-3.0,7.211110415798389e-13,-2.5980762113540368
3.125,40.0,1.999999999999967,-2.9999999999999356,2.0,-3.0,5.5772990422839785e-14,-2.59807621135326
3.15,40.0,1.999999999999991,-2.999999999999999,2.0,-3.0,8.69383318689105e-15,-2.598076211353315
3.175,40.0,2.000000000000029,-3.000000000000014,2.0,-3.0,2.4999501038247674e-14,-2.598076211353328
3.2,40.0,1.9999999999999991,-2.999999999999999,2.0,-3.0,8.881784197001251e-16,-2.598076211353315
3.225,40.0,1.999999999999996,-2.9999999999999987,2.0,-3.0,3.524848827571324e-15,-2.5980762113533147
3.25,40.0,1.99999999999999,-2.9999999999999796,2.0,-3.0,1.7692650111077558e-14,-2.5980762113532982
