Theta,hex_Fp_norm_maxrel,hex_Fp_norm_mean,hex_Fm_norm_maxrel,hex_Fm_norm_mean,hex_rho_maxrel,hex_rho_mean,disk_Fp_norm_maxrel,disk_Fp_norm_mean,disk_Fm_norm_maxrel,disk_Fm_norm_mean,disk_rho_maxrel,disk_rho_mean,family_Fp_norm_reldiff,family_Fm_norm_reldiff,family_rho_reldiff
10.0,0.000179019723242037,0.9585566888379728,0.00017351261901293595,0.9598836286161193,5.402557753340676e-06,0.41979622444174164,5.299724571631305e-05,0.958779102042779,5.139996339513159e-05,0.9600995296191462,1.5672291484914386e-06,0.41979915033655374,0.00023202926587036674,0.00022492414350081016,6.969797825102425e-06
11.0,0.00021909464307375947,0.9497947627290326,0.0002124281478478507,0.9514043293880046,6.542569943100364e-06,0.41966858940350754,6.463090554043845e-05,0.9500642611870882,6.270041384761608e-05,0.9516661043061356,1.8950040495950767e-06,0.41967213039499324,0.0002837438872385717,0.0002751458134518387,8.437589981962626e-06
12.0,0.00026390117830372604,0.9401814491381473,0.0002559834084172038,0.9421006850880885,7.77407608912185e-06,0.41952602618576695,7.75339850888472e-05,0.9405024850360449,7.523857148156579e-05,0.9424127530218129,2.2543272331939766e-06,0.4195302333714461,0.0003414616382741436,0.0003312469024425171,1.0028425929669506e-05
13.0,0.00031365006444708147,0.9297156449483011,0.00030440437718064667,0.9319708642429831,9.082415327604205e-06,0.41936800943450186,9.173300386882046e-05,0.9300925705056251,8.903919399785512e-05,0.9323375748396612,2.6470366989984928e-06,0.4193729284044707,0.00040542025873406486,0.0003934786061964529,1.1729483074974857e-05
14.0,0.0003685553747231739,0.918397543915249,0.0003579254060122402,0.921013983508821,1.0447975942439991e-05,0.41919406267907416,0.00010725262049070559,0.9188345716818018,0.00010412334353668512,0.9214395811828712,3.076790999845065e-06,0.4191997321985194,0.0004758590323420824,0.00046209686461950734,1.3524808555294293e-05
15.0,0.0004288318026708812,0.9062289096464284,0.0004167870261788358,0.9092303356353775,1.1845659585180682e-05,0.4190037785305692,0.0001241165576132206,0.9067300696383125,0.00012050836955389781,0.9097189197868544,3.5500030935652268e-06,0.41901022939430516,0.0005530169988503007,0.0005373601521285299,1.539571733359007e-05
16.0,0.0004946920898864614,0.893213342575923,0.0004812337888123259,0.8966216176544054,1.3244445303825993e-05,0.4187968391310781,0.00014234936642325963,0.8937824375147768,0.0001382084542496478,0.8971770997327425,4.077052245017561e-06,0.4188040933490764,0.0006371321516678388,0.0006195278670508434,1.7321568169781946e-05
17.0,0.0005663446566511993,0.879356535883675,0.0005515121742502793,0.8831911559309724,1.460707828949329e-05,0.41857303660071465,0.00016197920729710171,0.8799970959910964,0.00015723585150141718,0.8838172143579297,4.6738216254102045e-06,0.4185811071032605,0.00072844185638276,0.0007088594838762387,1.928099003081166e-05
18.0,0.0006439914883628766,0.8646665155163649,0.0006278686007882952,0.8689441247386427,1.5889905776868308e-05,0.4183322932692175,0.00018304184748880924,0.8653817544677507,0.00017760296564939807,0.8696441588520774,5.3636186618249834e-06,0.4183411843525244,0.0008271847452756757,0.0008056146459879914,2.1253638435105033e-05
19.0,0.0007278263254350111,0.8491538598194224,0.0007105475614365262,0.85388775508715,1.7042879900516568e-05,0.41807468155169086,0.00020558611072529423,0.8499466335756646,0.00019932543597165492,0.8546648393909889,6.179550344836406e-06,0.4180843903218164,0.0009336043722521528,0.0009100543943971023,2.3222573750416598e-05
