family,shape,N,Theta,theta_deg,Fp,Fm,Fp_norm,Fm_norm,rho,hard_p,hard_m,res_p,res_m
hex,shell10,331,15.0,0.8244745648939691,3.158381325050147,1.293165381406602,0.9062474504365307,0.9092484168185141,0.4190040151523382,14.174388752257682,22.97776751783666,1.1007629885052762e-15,2.8243701292568477e-14
hex,shell10,331,16.0,0.8794395358869003,3.113029353297284,1.2752363763780818,0.8932344211207468,0.8966422028943669,0.41879710348697546,13.841454231507415,22.535157202687856,1.588867050953544e-15,4.9200746203708983e-14
hex,shell10,331,17.0,0.9344045068798316,3.0647460392978143,1.2561388652873444,0.8793802896187657,0.8832143908185909,0.41857332790587526,13.494894536340624,22.071644029691125,1.3474211148769348e-14,9.485092411521376e-15
hex,shell10,331,18.0,0.9893694778727629,3.0135593131821183,1.23588019376477,0.8646930700387152,0.86897014543931,0.4183326098680163,13.135974566067596,21.588480401008194,2.6952102646863596e-14,5.2020419735292005e-15
hex,shell10,331,19.0,1.044334448865694,2.9595059930810326,1.214470629705378,0.8491833267595497,0.8539166863027821,0.41807502079652903,12.765976211352458,21.086945879714932,1.2499303300653247e-14,2.558704874010918e-14
hex,shell10,331,20.0,1.0992994198586254,2.902632465587956,1.191923641795874,0.8328643696788639,0.8380634834909009,0.4178008015831342,12.386189502062138,20.568340962519216,4.5598262118915884e-14,1.1024923274989899e-14
hex,shell12,469,0.0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656,16.820108412143277,26.412876826421353,1.7838401791723786e-15,5.988270375482281e-14
hex,shell12,469,1.0,0.04617570965396102,3.483685059492176,1.4216683104105727,0.9995881998949229,0.9996011949189547,0.4203604905883639,16.807396653696944,26.396681319991345,1.1359831325227438e-14,2.910072517686058e-14
hex,shell12,469,2.0,0.09235141930792204,3.4793781425559938,1.4199662222935439,0.9983523983589588,0.9984044253889733,0.4203443903714444,16.769314503316064,26.348146538261993,6.0421068725310315e-15,1.0576963796815692e-14
hex,shell12,469,3.0,0.13852712896188304,3.4721953489898185,1.4171277486598444,0.9962914096161715,0.996408642255021,0.4203174057606997,16.706021002549505,26.26742733231825,5.2268910037032484e-14,1.1323195637971126e-13
hex,shell12,469,4.0,0.18470283861584408,3.462129997967806,1.413150467298971,0.993403316709498,0.9936121424162437,0.4202793142397633,16.617780109055957,26.154780587055154,2.3310286081194998e-14,6.820176761816604e-14
hex,shell12,469,5.0,0.23087854826980508,3.4491731671299886,1.4080311220205697,0.9896855595091943,0.9900126363851818,0.42022981196584175,16.50495902769221,26.01056343843888,2.1568470904478904e-14,7.199144146416469e-14
hex,shell12,469,6.0,0.2770542579237661,3.433314115068279,1.4017657552603031,0.985135055938497,0.9856073415253988,0.42016852136713856,16.368025871762708,25.835230812448927,9.448387800486642e-15,2.2035404205358575e-14
hex,shell12,469,7.0,0.3232299675777271,3.414540812705034,1.3943498753225216,0.9797483544442769,0.9803930996428876,0.42009500078928314,16.207546653916467,25.62933231937056,9.314712726633792e-15,8.289751281883676e-15
hex,shell12,469,8.0,0.36940567723168816,3.392840574803123,1.3857786558794138,0.9735218151988421,0.974366517257599,0.4200087560935541,16.024181608442348,25.393508545219976,8.87330361236919e-15,3.059091554042751e-14
hex,shell12,469,9.0,0.41558138688564916,3.3682007810352026,1.3760471648806776,0.9664518169993355,0.9675241265540527,0.41990925408303853,15.818680850523348,25.128486789175284,3.800614325343122e-15,2.546762587639919e-14
hex,shell12,469,10.0,0.46175709653961017,3.3406096743287934,1.3651506195996241,0.9585349863401975,0.9598625647089526,0.4197959376039606,15.591879383556266,24.83507630185303,6.850051123809212e-15,8.243060195204285e-14
hex,shell12,469,11.0,0.5079328061935712,3.3100572226380542,1.3530846641566232,0.9497684446849153,0.9513787690230381,0.41966824214019427,15.344691472843612,24.514163084040497,3.927745640731756e-14,7.766223676221007e-14
hex,shell12,469,12.0,0.5541085158475322,3.2765360289100482,1.3398456655247677,0.9401500695664162,0.9420701850481226,0.4195256136900503,15.078104412744592,24.166704309062077,1.2236416558778136e-14,1.507535012712972e-14
hex,shell12,469,13.0,0.6002842255014932,3.2400422728649563,1.3254310237402602,0.9296787648159703,0.9319349847017343,0.4193675276883906,14.793171724408108,23.793722434340516,7.170581150437146e-15,7.542641186564927e-15
hex,shell12,469,14.0,0.6464599351554542,3.2005766673423275,1.3098394918156264,0.9183547349715853,0.9209722912039944,0.41919350871598543,14.491005832143053,23.396299068975935,6.683228671488468e-15,2.332143326084621e-14
hex,shell12,469,15.0,0.6926356448094152,3.1581454114339707,1.2930715006908517,0.9061797587643796,0.90918240755675,0.41900315072554206,14.172770277737138,22.975568664379807,4.256822893638346e-14,2.043132882624592e-14
hex,shell12,469,16.0,0.7388113544633763,3.112761122469619,1.2751294844583816,0.8931574565370937,0.8965670452152675,0.41879613751304956,13.839671543042185,22.532712094263996,2.3730241332902214e-15,2.6488602046495097e-14
hex,shell12,469,17.0,0.7849870641173373,3.0644437291970097,1.2560182010641068,0.8792935465279544,0.883129549579007,0.4185722631801102,13.492950561106108,22.068950188695148,3.8237265883770076e-14,5.7989601765689e-14
hex,shell12,469,18.0,0.8311627737712983,3.013221309231188,1.2357450437186608,0.8645960851634759,0.8688751189506453,0.4183314523727666,13.133874004335986,21.585537284575885,1.025511996733607e-14,8.49053098791083e-14
