shell,N,Theta,theta_deg,Fp,Fm,Fp_norm,Fm_norm,rho,hard_p,hard_m,res_p,res_m
3,37,25.0,4.109974682633933,2.5950787934061026,1.0696707479325682,0.7446167191888549,0.7521052203058907,0.41623800706345915,10.465272202184174,17.889533236515682,5.174479942642892e-15,1.2341803202796467e-15
3,37,26.0,4.27437366993929,2.52395609436294,1.0412610723125018,0.7242091882283533,0.7321298536967292,0.4158778982412027,10.055131494420689,17.301458081085045,2.2027825231863457e-14,1.3237092898052326e-14
3,37,27.0,4.438772657244647,2.450620417775004,1.011910786520518,0.70316667844439,0.7114931267372552,0.415508062272381,9.643344157033344,16.705142464784764,9.983099758900162e-15,5.493913138303659e-15
3,37,28.0,4.603171644550004,2.375197576406961,0.9816614725633354,0.6815252898152373,0.690224276502881,0.415130955311063,9.230953494124496,16.101828263800506,2.1748303957721036e-14,1.2951080425114053e-14
3,37,29.0,4.767570631855362,2.297825253965511,0.9505588163035931,0.6593245284977913,0.6683554255657639,0.41474973664376663,8.81893529032261,15.492737886248168,1.6270193554824e-14,5.0534021617725555e-15
3,37,30.0,4.931969619160719,2.218654279671745,0.9186525663357555,0.6366076725459021,0.6459215530796968,0.4143686853551977,8.4081771372832,14.879071333825951,3.166661163137856e-16,3.3026305178229215e-15
4,61,0.0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656,16.820108412143277,26.412876826421353,1.7838401791723786e-15,5.988270375482281e-14
4,61,1.0,0.12803687993289598,3.4837015398861273,1.4216748237616543,0.9995929286826984,0.999605774576162,0.4203605520272637,16.807542506622145,26.396867178419335,3.6915355570598856e-14,7.316842231221759e-15
4,61,2.0,0.25607375986579195,3.479444110432212,1.4199922950646826,0.9983713267952307,0.9984227576349651,0.42034463659063703,16.769896152333317,26.34888831000586,7.046260311743331e-14,2.0534255632258103e-14
4,61,3.0,0.3841106397986879,3.4723439465930617,1.4171864837702317,0.9963340473426588,0.9964499399938093,0.42031796142643735,16.707323124792936,26.269090106683763,1.0025661025939707e-14,8.187908793194646e-14
4,61,4.0,0.5121475197315839,3.4623945804159253,1.4132550582772572,0.9934792344484792,0.9936856822610213,0.4202803060081851,16.62007867825629,26.157721244715006,2.2259568027689737e-15,3.0855013168747803e-16
4,61,5.0,0.6401843996644799,3.4495873618818274,1.4081948806451954,0.9898044061268783,0.9901277780927484,0.4202313688261781,16.50851798649084,26.015127507991657,3.479929726301284e-14,7.993915105008687e-14
4,61,6.0,0.7682212795973759,3.4339118565046833,1.4020021308165656,0.9853065683674952,0.9857735415361604,0.42017077454548585,16.373093956922112,25.841749463686146,2.2011833490146206e-15,1.823317399236838e-14
4,61,7.0,0.8962581595302719,3.4153563458338474,1.3946724633914465,0.9799823587466934,0.9806199172604728,0.42009808310646135,16.214354416828144,25.638119527714,9.927460277351944e-15,5.131704160072164e-14
4,61,8.0,1.0242950394631678,3.3939084229185723,1.3862011947987167,0.9738282172866469,0.9746636121604974,0.4200128006852326,16.032938672059213,25.404858458545505,2.190451755721697e-14,7.045456141183805e-14
4,61,9.0,1.1523319193960637,3.36955567313441,1.3765835182852515,0.9668405818076836,0.9679012465195079,0.419914392408079,15.829573442012215,25.142671324484823,9.306138050547875e-15,3.4307365592063077e-14
4,61,10.0,1.2803687993289599,3.3422864291986993,1.3658147437531907,0.9590161045680085,0.960329522643246,0.4198022966881781,15.605068179410988,24.85234299509559,1.826564398771456e-14,5.0012926300197897e-14
4,61,11.0,1.4084056792618558,3.3120905877493962,1.3538905591221175,0.9503518865680549,0.9519454086284849,0.41967594102694333,15.360309789829765,24.534733211928415,2.512055336949874e-14,2.350697488584066e-14
4,61,12.0,1.5364425591947517,3.2789604735643794,1.3408073095824078,0.9408457255245128,0.9427463347112083,0.41953475909600485,15.096256773761066,24.190771297086766,2.0050412938770763e-15,4.895474918579401e-14
4,61,13.0,1.6644794391276478,3.2428917364038052,1.3265622908426313,0.9304963732050248,0.9327303994542627,0.41937820889204974,14.813932823110086,23.8214505604698,3.182535681913339e-14,1.339377738881825e-14
4,61,14.0,1.7925163190605438,3.203884264608085,1.3111540522613105,0.9193037975706418,0.9218965828848854,0.4192057917371435,14.514419913974965,23.427822467807477,1.6766022961457932e-14,2.245036600112921e-14
4,61,15.0,1.9205531989934397,3.161943099028594,1.2945827055948649,0.9072694450137521,0.9102449635810751,0.4190170718851041,14.198850947957887,23.010990631921537,4.766859937684991e-14,1.8754546256746448e-14
4,61,16.0,2.0485900789263356,3.1170793306520683,1.276850234991457,0.8943964979171706,0.8977769366339788,0.4188116964936136,13.868402004489473,22.57210468909215,8.480038515683641e-16,4.5074056346971526e-14
4,61,17.0,2.1766269588592317,3.0693109654459736,1.2579608038161858,0.8806901228078075,0.8844954293823419,0.4185894157367981,13.524284276077683,22.112354121069615,5.416154506711358e-15,3.292056786213054e-14
4,61,18.0,2.3046638387921274,3.0186637405416437,1.2379210539074197,0.8661577045474805,0.8704051118251513,0.41835010287037133,13.167735766271853,21.63296208123439,2.922780189410249e-15,4.5220293235125615e-14
4,61,19.0,2.4327007187250236,2.9651718769260484,1.2167403929367315,0.8508090623058848,0.8555125986697032,0.41809377413043813,12.800012835600384,21.13517928075834,1.1615290844055615e-15,1.5891014380755324e-14
4,61,20.0,2.5607375986579197,2.908878755375633,1.194431265674764,0.8346566435090924,0.8398266400636332,0.4178206084613591,12.422381682825073,20.620277987435195,1.3295885182696726e-14,1.9229813077065008e-14
4,61,21.0,2.6887744785908154,2.8498375045069873,1.1710094051505628,0.8177156925713699,0.823358298189673,0.41753096725072975,12.036109846263805,20.089546186196728,4.2323923407790623e-14,2.5308470467794112e-14
4,61,22.0,2.8168113585237116,2.7881114926576855,1.1464940599295892,0.8000043920325863,0.8061211070690109,0.4172254145396149,11.642457800860445,19.544281946277852,9.324723244433072e-15,2.818806250778245e-14
4,61,23.0,2.9448482384566077,2.723774719086769,1.1209081940223522,0.7815439748069906,0.7881312131207353,0.41690473864545813,11.242670708135794,18.98578803559494,9.912943309081873e-16,2.2732847242420724e-14
4,61,24.0,3.0728851183895034,2.656912105194314,1.0942786562670106,0.7623588077440497,0.7694074942578654,0.41656997692075765,10.83797034267993,18.41536681821257,1.962762219899293e-15,1.6278806993548205e-14
4,61,25.0,3.2009219983223995,2.5876196941685405,1.0666363164008141,0.7424764489140214,0.7499716555616888,0.4162224467493585,10.429547159521682,17.83431546584381,1.7035424484275935e-14,2.2559296053351945e-14
4,61,26.0,3.3289588782552957,2.5160047800553804,1.03801616544129,0.7219276846424204,0.7298482998616246,0.4158637884469595,10.018552357956857,17.243921509213227,1.2199911996264759e-14,8.171705113561904e-16
4,61,27.0,3.4569957581881914,2.4421860103247086,1.008457378433058,0.7007465589397726,0.7090649718536657,0.41549603084536463,9.606089584390514,16.64545874985786,6.476191100593008e-15,6.004351595325803e-15
4,61,28.0,3.5850326381210875,2.366293553925828,0.9780033380738722,0.6789704217224721,0.6876521747122842,0.41512170141743515,9.193205460239298,16.040183547609708,9.890362268426736e-15,9.590695551656543e-15
4,61,29.0,3.713069518053983,2.288469540319503,0.9467016182076745,0.6566400547860636,0.6656433584840928,0.4147440294079133,8.780877026859503,15.429331493645059,2.4838561410783863e-14,4.7054860932252434e-15
4,61,30.0,3.8411063979868794,2.2088692876363365,0.9146039266565769,0.6338000242058176,0.6430748798919582,0.41436736356734,8.369991178167938,14.81411447366634,7.07914826181393e-15,5.95713245320469e-15
5,91,0.0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656,16.820108412143277,26.412876826421353,1.7838401791723786e-15,5.988270375482281e-14
5,91,1.0,0.10482848367219183,3.4836952807298314,1.4216723500295667,0.9995911327170277,0.9996040352495325,0.4203605286931458,16.807487112273492,26.39679659021669,6.500141907117755e-14,6.684125502400486e-15
5,91,2.0,0.20965696734438366,3.479419056300462,1.4199823928141233,0.998364137909316,0.998415795180067,0.420344543078526,16.76967524189508,26.34860658608944,2.3908765101248537e-14,2.3388927620776927e-15
5,91,3.0,0.3144854510165755,3.4722875105529156,1.417164176717031,0.9963178539156368,0.996434255493514,0.4203177503904071,16.70682856914305,26.268458578601667,4.037663140195393e-14,9.361537947959642e-14
5,91,4.0,0.4193139346887673,3.4622940949954555,1.4132153358605115,0.9934504017501016,0.9936577526975968,0.42027992934785446,16.619205641832856,26.15660435052083,2.1132424245190092e-14,1.5993480450854544e-14
5,91,5.0,0.5241424183609592,3.449430056497673,1.4081326875435016,0.9897592698407056,0.9900840489765308,0.4202307775557306,16.507166187127943,26.013393982318227,4.341773032764257e-14,1.2441839333420692e-14
5,91,6.0,0.628970902033151,3.43368484423787,1.401912359609589,0.985241430796428,0.9857104217457663,0.420169918828577,16.371168868373303,25.839273476516922,5.359369116614704e-14,2.2299461669880028e-14
5,91,7.0,0.7337993857053429,3.4150466218084836,1.3945499511505943,0.979893488347765,0.9805337766456393,0.42009691249733855,16.211768398061427,25.63478175890061,1.5026451670656032e-14,5.125243307396693e-14
5,91,8.0,0.8386278693775346,3.3935028762335895,1.3860407243071053,0.973711852094647,0.9745507823998637,0.4200112646109947,16.029612007865612,25.400547096324573,3.638922874333234e-14,5.1772256733743365e-14
5,91,9.0,0.9434563530497265,3.3690411139369885,1.376379824488167,0.9666929372034481,0.9677580256560533,0.41991244092038715,15.825435280136944,25.13728297764277,8.630864878960508e-16,1.6510128123933124e-14
5,91,10.0,1.0482848367219184,3.34164963207469,1.365562525927281,0.9588333857286139,0.960152183640672,0.4197998815048483,15.600057350347768,24.845783509975483,3.737267411702608e-15,2.766587108378462e-14
5,91,11.0,1.1531133203941102,3.3113183521500735,1.3535844991268076,0.9501303058053168,0.9517302122041232,0.41967301687480874,15.354375496657266,24.52691838713047,4.4606111133397665e-14,3.9244398347920156e-14
5,91,12.0,1.257941804066302,3.278039701501372,1.340442096422706,0.9405815245783143,0.9424895466065816,0.4195312853564953,15.089359140969034,24.181627490440903,2.8039928149784813e-14,1.7094171215039406e-14
5,91,13.0,1.3627702877384937,3.2418095271329115,1.3261326516308716,0.9301858504113368,0.932428312204857,0.41937415153982477,14.806043295312108,23.810915184618338,2.490761335596941e-14,2.2937254662072316e-15
5,91,14.0,1.4675987714106857,3.2026280255078894,1.3106547895192828,0.9189433396763839,0.9215455420479652,0.41920112555082945,14.505521497683304,23.415844372491183,3.5510640481721146e-14,1.1187099819267572e-14
